Date,Open,High,Low,Close,Volume
2012-11-21,10.5,11.75,10.5,11.31,4567029.0
2012-11-23,11.5,11.76,11.2,11.32,236917.0
2012-11-26,11.5,11.5,10.81,11.3,257287.0
2012-11-27,11.4,12.99,11.17,12.2,460347.0
2012-11-28,12.3,13.15,12.18,13.02,796099.0
2012-11-29,13.5,14.34,13.22,13.34,533172.0
2012-11-30,14.24,14.56,13.55,14.17,390778.0
2012-12-03,14.45,14.98,14.25,14.54,336190.0
2012-12-04,15.27,15.27,13.56,14.18,482364.0
2012-12-05,14.07,14.3,13.0,13.16,359520.0
2012-12-06,13.0,13.1,12.2,12.23,642886.0
2012-12-07,12.33,12.68,12.0,12.18,252251.0
2012-12-10,12.15,12.72,12.15,12.34,253573.0
2012-12-11,12.37,13.32,12.3,12.9,241049.0
2012-12-12,13.47,13.73,13.0,13.09,254869.0
2012-12-13,13.2,13.5,13.08,13.31,147775.0
2012-12-14,13.4,13.66,13.4,13.65,98078.0
2012-12-17,13.69,14.95,13.63,14.75,417542.0
2012-12-18,14.99,15.15,14.39,14.66,264515.0
2012-12-19,14.45,14.84,13.56,13.6,368662.0
2012-12-20,13.5,14.35,13.5,14.29,78678.0
2012-12-21,13.97,14.13,13.5,13.93,69461.0
2012-12-24,13.93,14.29,13.89,14.29,12499.0
2012-12-26,14.29,14.71,14.0,14.5,84312.0
2012-12-27,14.5,14.5,13.71,13.99,172453.0
2012-12-28,13.93,14.41,13.93,14.02,102016.0
2012-12-31,14.06,14.28,14.0,14.26,56891.0
2013-01-02,14.5,14.7,14.29,14.31,244198.0
2013-01-03,14.2,14.63,14.0,14.24,181665.0
2013-01-04,14.14,14.24,13.18,13.5,262478.0
2013-01-07,13.56,13.99,13.56,13.85,107844.0
2013-01-08,13.83,13.91,13.55,13.56,80576.0
2013-01-09,13.63,13.88,13.26,13.44,185751.0
2013-01-10,13.48,13.51,13.06,13.3,132098.0
2013-01-11,13.47,13.76,13.1,13.76,155629.0
2013-01-14,13.8,13.98,13.42,13.81,229192.0
2013-01-15,13.87,13.87,13.43,13.75,104181.0
2013-01-16,13.67,13.88,13.58,13.65,49840.0
2013-01-17,13.53,13.84,13.17,13.31,129296.0
2013-01-18,13.33,13.72,13.33,13.36,56995.0
2013-01-22,13.37,13.79,13.37,13.5,164547.0
2013-01-23,13.5,13.66,13.3,13.3,78080.0
2013-01-24,13.34,13.6,13.14,13.26,130225.0
2013-01-25,13.21,13.35,13.2,13.25,55833.0
2013-01-28,13.27,13.55,13.23,13.4,116623.0
2013-01-29,13.43,13.56,13.43,13.54,137092.0
2013-01-30,13.5,13.95,13.5,13.81,140288.0
2013-01-31,13.85,13.95,13.8,13.83,124899.0
2013-02-01,14.0,14.0,13.7,13.9,244089.0
2013-02-04,13.8,14.7,13.7,13.76,575023.0
2013-02-05,13.67,13.95,13.27,13.46,183115.0
2013-02-06,13.46,13.7,13.46,13.52,143248.0
2013-02-07,13.45,14.0,13.45,13.92,171362.0
2013-02-08,13.86,14.18,13.86,13.99,188550.0
2013-02-11,13.93,14.29,13.9,14.06,56352.0
2013-02-12,14.02,14.3,13.77,14.1,107277.0
2013-02-13,14.23,14.23,13.97,14.08,26958.0
2013-02-14,14.1,15.49,14.01,14.92,318839.0
2013-02-15,14.95,16.54,14.95,15.91,737202.0
2013-02-19,16.16,16.78,16.02,16.61,523884.0
2013-02-20,16.97,17.08,16.26,16.51,190604.0
2013-02-21,16.58,17.1,16.02,17.04,229076.0
2013-02-22,17.0,19.06,17.0,18.77,475712.0
2013-02-25,19.19,19.75,18.0,19.25,350212.0
