Date,Open,High,Low,Close,Volume
2005-01-03,33.1,35.2,33.1,34.0,3160.0
2005-01-04,33.3,33.5,33.1,33.1,1338.0
2005-01-05,33.1,33.2,33.1,33.1,2010.0
2005-01-06,33.5,33.7,33.1,33.2,505.0
2005-01-07,33.5,33.5,33.1,33.1,640.0
2005-01-10,33.0,33.4,32.4,32.4,1463.0
2005-01-11,31.1,31.6,31.1,31.5,1960.0
2005-01-12,31.5,31.5,31.1,31.1,760.0
2005-01-13,31.1,32.0,31.1,31.8,960.0
2005-01-14,31.4,32.0,31.2,32.0,432.0
2005-01-18,31.0,31.74,31.0,31.5,860.0
2005-01-19,31.0,32.6,31.0,32.6,1583.0
2005-01-20,31.0,33.2,27.7,30.7,1150.0
2005-01-21,30.6,33.7,30.6,33.0,2040.0
2005-01-24,33.9,34.3,30.6,30.6,1323.0
2005-01-25,30.6,31.7,30.6,31.7,470.0
2005-01-26,31.7,31.7,30.6,30.6,1388.0
2005-01-27,30.6,32.3,30.6,31.3,911.0
2005-01-28,34.1,34.7,30.7,34.0,1841.0
2005-01-31,34.9,35.0,30.9,34.3,1906.0
2005-02-01,34.3,34.3,30.9,32.9,581.0
2005-02-02,31.8,32.8,31.4,32.5,686.0
2005-02-03,32.0,35.1,32.0,34.6,3945.0
2005-02-04,34.6,35.5,34.6,35.1,270.0
2005-02-07,34.4,34.6,33.1,33.5,475.0
2005-02-08,33.1,33.8,33.1,33.3,1120.0
2005-02-09,34.0,34.8,34.0,34.0,928.0
2005-02-10,33.5,33.5,30.6,30.6,3698.0
2005-02-11,30.61,32.5,30.6,32.4,1156.0
2005-02-14,30.6,31.7,30.6,31.5,2126.0
2005-02-15,31.0,31.0,30.6,30.6,2175.0
2005-02-16,30.7,32.7,30.6,31.2,3396.0
2005-02-17,30.9,30.9,30.6,30.8,250.0
2005-02-18,31.2,31.2,30.6,30.99,95.0
2005-02-22,30.6,30.61,30.6,30.6,1105.0
2005-02-23,30.8,30.8,30.6,30.6,1780.0
2005-02-24,30.8,30.8,30.6,30.6,1460.0
2005-02-25,31.3,31.3,30.6,30.6,895.0
2005-02-28,30.6,31.0,30.6,31.0,2415.0
2005-03-01,30.2,30.5,30.2,30.2,801.0
2005-03-02,30.6,30.6,30.2,30.2,1175.0
2005-03-03,30.2,30.21,30.2,30.2,345.0
2005-03-04,30.2,30.4,30.2,30.2,1185.0
2005-03-07,30.2,30.4,30.0,30.3,868.0
2005-03-08,29.2,29.8,28.7,29.8,3454.0
2005-03-09,29.0,30.4,29.0,29.0,2578.0
2005-03-10,30.2,30.2,29.0,29.0,330.0
2005-03-11,29.0,30.0,29.0,29.9,1360.0
2005-03-14,29.9,30.0,29.0,29.2,1027.0
2005-03-15,28.91,29.1,28.8,29.1,40.0
2005-03-16,28.9,28.9,28.1,28.4,2460.0
2005-03-17,28.1,29.6,28.1,29.1,1611.0
2005-03-18,29.89,30.1,29.1,29.1,344.0
2005-03-21,29.1,29.3,29.1,29.11,1702.0
2005-03-22,28.4,29.3,27.9,28.8,707.0
2005-03-23,28.6,28.6,28.5,28.5,30.0
2005-03-24,28.5,28.8,26.7,26.7,2445.0
2005-03-28,27.3,28.5,27.2,28.0,2550.0
2005-03-29,31.0,31.0,27.0,27.2,1210.0
2005-03-30,27.21,30.0,27.2,27.6,1770.0
2005-03-31,28.3,29.3,28.0,28.2,2033.0
2005-04-01,28.1,28.6,28.1,28.4,1380.0
2005-04-04,29.22,29.22,28.1,28.6,665.0
2005-04-05,28.0,28.41,28.0,28.1,2110.0
2005-04-06,28.11,28.11,28.0,28.1,1660.0
2005-04-07,28.0,28.0,28.0,28.0,530.0
2005-04-08,28.0,28.2,28.0,28.0,540.0
2005-04-11,27.6,28.0,27.6,27.8,1112.0
2005-04-12,27.8,28.02,27.6,28.0,410.0
2005-04-13,28.0,28.3,28.0,28.0,1853.0
2005-04-14,28.5,28.5,28.0,28.2,488.0
2005-04-15,27.8,28.0,27.6,27.8,1270.0
2005-04-18,27.8,27.9,27.6,27.9,295.0
2005-04-19,28.0,28.0,27.0,27.8,1050.0
2005-04-20,27.4,28.0,27.4,28.0,773.0
2005-04-21,27.4,27.4,27.2,27.2,310.0
2005-04-22,27.0,27.1,27.0,27.0,375.0
2005-04-25,30.0,30.0,27.0,28.0,1524.0
2005-04-26,28.0,29.3,27.0,27.0,1648.0
2005-04-27,27.0,27.2,26.8,26.84,1399.0
2005-04-28,26.0,26.5,26.0,26.5,400.0
2005-04-29,22.6,26.2,22.6,26.2,1838.0
2005-05-02,25.3,25.4,24.1,24.1,1000.0
2005-05-03,24.1,24.3,24.0,24.1,1842.0
2005-05-04,24.4,24.4,24.2,24.2,290.0
2005-05-05,24.2,24.5,24.2,24.5,835.0
