"Symbol","Name","LastSale","MarketCap","ADR TSO","Country","IPOyear","Sector","Industry","Summary Quote",
"VNET","21Vianet Group, Inc.","27.43","1822723500","n/a","China","2011","Technology","Computer Software: Programming, Data Processing","http://www.nasdaq.com/symbol/vnet",
"JOBS","51job, Inc.","61.73","1835196541.03","n/a","China","2004","Technology","Diversified Commercial Services","http://www.nasdaq.com/symbol/jobs",
"ACTS","Actions Semiconductor Co., Ltd.","2.03","174580000","n/a","China","2005","Technology","Semiconductors","http://www.nasdaq.com/symbol/acts",
"AMCN","AirMedia Group Inc","2.06","122708158.02","n/a","China","2007","Technology","Advertising","http://www.nasdaq.com/symbol/amcn",
"ACH","Aluminum Corporation of China Limited","9.09","4917503791.35","n/a","China","2001","Basic Industries","Aluminum","http://www.nasdaq.com/symbol/ach",
"ALN","American Lorain Corporation","1.149","39774604.386","n/a","China","n/a","Consumer Non-Durables","Packaged Foods","http://www.nasdaq.com/symbol/aln",
"AMCF","Andatee China Marine Fuel Services Corporation","1.95","19998835.35","n/a","China","2010","Energy","Oil Refining/Marketing","http://www.nasdaq.com/symbol/amcf",
"ATAI","ATA Inc.","4.91","110966000","n/a","China","2008","Consumer Services","Other Consumer Services","http://www.nasdaq.com/symbol/atai",
"AMAP","AutoNavi Holdings Limited","20.84","1380675924.96","n/a","China","2010","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/amap",
"BIDU","Baidu, Inc.","172.34","60336876828.2","n/a","China","2005","Technology","Computer Software: Programming, Data Processing","http://www.nasdaq.com/symbol/bidu",
"BSPM","Biostar Pharmaceuticals, Inc.","1.382","19798688.166","n/a","China","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/bspm",
"BONA","Bona Film Group Limited","6.74","409368121.4","n/a","China","2010","Consumer Services","Movies/Entertainment","http://www.nasdaq.com/symbol/bona",
"CSIQ","Canadian Solar Inc.","24.05","1304222914.15","n/a","China","2006","Technology","Semiconductors","http://www.nasdaq.com/symbol/csiq",
"CYOU","Changyou.com Limited","26.64","1407580157.52","n/a","China","2009","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/cyou",
"CHRM","Charm Communications Inc.","4.5","183152538","n/a","China","2010","Technology","Advertising","http://www.nasdaq.com/symbol/chrm",
"CADC","China Advanced Construction Materials Group, Inc.","3.5009","5205386.6839","n/a","China","n/a","Basic Industries","Engineering & Construction","http://www.nasdaq.com/symbol/cadc",
"CALI","China Auto Logistics Inc.","2.22","8956354.68","n/a","China","n/a","Consumer Services","Motor Vehicles","http://www.nasdaq.com/symbol/cali",
"CAAS","China Automotive Systems, Inc.","8.58","240609103.02","n/a","China","n/a","Capital Goods","Auto Parts:O.E.M.","http://www.nasdaq.com/symbol/caas",
"CBAK","China BAK Battery, Inc.","2.12","26753545.64","n/a","China","n/a","Miscellaneous","Industrial Machinery/Components","http://www.nasdaq.com/symbol/cbak",
"CBPO","China Biologic Products, Inc.","47.84","1121497093.6","n/a","China","n/a","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/cbpo",
"CCCL","China Ceramics Co., Ltd.","1.35","27581631.3","n/a","China","n/a","Capital Goods","Building Materials","http://www.nasdaq.com/symbol/cccl",
"CCCR","China Commercial Credit, Inc.","3.7997","46534211.5564","n/a","China","2013","Finance","Major Banks","http://www.nasdaq.com/symbol/cccr",
"CEA","China Eastern Airlines Corporation Ltd.","15.36","3893535390.72","n/a","China","1997","Transportation","Air Freight/Delivery Services","http://www.nasdaq.com/symbol/cea",
"JRJC","China Finance Online Co. Limited","3.88","86249008.88","n/a","China","2004","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/jrjc",
"CHOP","China Gerui Advanced Materials Group Limited","0.83","49404015.3","n/a","China","n/a","Capital Goods","Steel/Iron Ore","http://www.nasdaq.com/symbol/chop",
"CGA","China Green Agriculture, Inc.","2.34","74480723.46","n/a","China","n/a","Basic Industries","Agricultural Chemicals","http://www.nasdaq.com/symbol/cga",
"HGSH","China HGS Real Estate, Inc.","4.23","190561500","n/a","China","n/a","Finance","Real Estate","http://www.nasdaq.com/symbol/hgsh",
"CHLN","China Housing & Land Development, Inc.","1.78","61380555.24","n/a","China","n/a","Basic Industries","Homebuilding","http://www.nasdaq.com/symbol/chln",
"CNIT","China Information Technology, Inc.","4.01","117759777.28","n/a","China","n/a","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/cnit",
"CJJD","China Jo-Jo Drugstores, Inc.","1.62","23180583.24","n/a","China","n/a","Health Care","Other Pharmaceuticals","http://www.nasdaq.com/symbol/cjjd",
"LFC","China Life Insurance Company Limited","41.12","77482977945.92","n/a","China","2003","Finance","Life Insurance","http://www.nasdaq.com/symbol/lfc",
"HTHT","China Lodging Group, Limited","24.88","1539773415.12","n/a","China","2010","Consumer Services","Hotels/Resorts","http://www.nasdaq.com/symbol/htht",
"SNP","China Petroleum & Chemical Corporation","92.2","107473219231.4","n/a","China","n/a","Energy","Integrated oil Companies","http://www.nasdaq.com/symbol/snp",
"CPHI","China Pharma Holdings, Inc.","0.42","18303413.94","n/a","China","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/cphi",
"CREG","China Recycling Energy Corporation","2.65","161507382.3","n/a","China","n/a","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/creg",
"CPGI","China Shengda Packaging Group, Inc.","0.97","37627086.67","n/a","China","2010","Consumer Durables","Containers/Packaging","http://www.nasdaq.com/symbol/cpgi",
"ZNH","China Southern Airlines Company Limited","14.61","2868693077.4","n/a","China","1997","Transportation","Air Freight/Delivery Services","http://www.nasdaq.com/symbol/znh",
"CSUN","China Sunergy Co., Ltd.","2.91","38913366.81","n/a","China","2007","Technology","Semiconductors","http://www.nasdaq.com/symbol/csun",
"CNTF","China TechFaith Wireless Communication Technology Limited","1.3599","71984329.2054","n/a","China","2005","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/cntf",
"CXDC","China XD Plastics Company Limited","12.2","593893230.6","n/a","China","n/a","Capital Goods","Containers/Packaging","http://www.nasdaq.com/symbol/cxdc",
"CNYD","China Yida Holding, Co.","3.2","12526656","n/a","China","n/a","Consumer Services","Advertising","http://www.nasdaq.com/symbol/cnyd",
"CCIH","ChinaCache International Holdings Ltd.","13.38","313145908.02","n/a","China","2010","Technology","EDP Services","http://www.nasdaq.com/symbol/ccih",
"CNET","ChinaNet Online Holdings, Inc.","0.876","19601849.04","n/a","China","n/a","Technology","Advertising","http://www.nasdaq.com/symbol/cnet",
"CLNT","Cleantech Solutions International, Inc.","5.39","19236920.78","n/a","China","n/a","Technology","Industrial Machinery/Components","http://www.nasdaq.com/symbol/clnt",
"CISG","CNinsure Inc.","7.17","358091854.92","n/a","China","2007","Finance","Specialty Insurers","http://www.nasdaq.com/symbol/cisg",
"CCSC","Country Style Cooking Restaurant Chain Co., Ltd.","8.99","239461505.7","n/a","China","2010","Consumer Services","Restaurants","http://www.nasdaq.com/symbol/ccsc",
"CTRP","Ctrip.com International, Ltd.","57.44","7772378949.76","n/a","China","2003","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/ctrp",
"DHRM","Dehaier Medical Systems Limited","6.33","34882731","n/a","China","2010","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/dhrm",
