Date,Open,High,Low,Close,Volume
2005-01-03,121.7,121.92,120.03,120.46,449900.0
2005-01-04,120.67,120.67,118.56,119.01,844700.0
2005-01-05,119.0,119.38,118.29,118.29,534000.0
2005-01-06,118.57,119.26,118.45,118.77,496300.0
2005-01-07,119.08,119.34,118.33,118.55,547600.0
2005-01-10,118.65,119.6,118.54,119.15,577600.0
2005-01-11,118.69,118.86,118.16,118.34,237400.0
2005-01-12,118.54,118.99,117.68,118.8,576200.0
2005-01-13,118.77,118.89,117.69,117.82,523900.0
2005-01-14,118.13,118.67,117.94,118.47,470200.0
2005-01-18,118.23,119.73,118.12,119.73,348500.0
2005-01-19,119.56,119.63,118.41,118.41,677200.0
2005-01-20,118.05,118.34,117.48,117.7,627900.0
2005-01-21,117.9,118.11,116.82,116.9,1099900.0
2005-01-24,117.19,117.46,116.51,116.75,558900.0
2005-01-25,117.07,117.59,116.88,117.0,378500.0
2005-01-26,117.47,117.74,117.16,117.39,284700.0
2005-01-27,117.27,117.88,117.15,117.57,471900.0
2005-01-28,117.63,117.69,116.76,117.24,576400.0
2005-01-31,118.09,118.41,117.86,118.29,815500.0
2005-02-01,118.45,119.2,118.21,119.05,271100.0
2005-02-02,119.12,119.72,119.05,119.43,531700.0
2005-02-03,119.21,119.32,118.8,119.14,564300.0
2005-02-04,119.14,120.57,119.14,120.37,444900.0
2005-02-07,120.39,120.65,120.2,120.21,1707000.0
2005-02-08,120.32,120.79,120.23,120.36,382400.0
2005-02-09,120.58,120.61,119.39,119.43,648600.0
2005-02-10,119.83,120.15,119.43,120.03,293700.0
2005-02-11,119.89,121.19,119.64,120.82,419300.0
2005-02-14,120.85,121.04,120.68,120.81,361100.0
2005-02-15,121.01,121.58,120.88,121.36,767700.0
2005-02-16,121.09,121.6,120.92,121.35,473400.0
2005-02-17,121.35,121.48,120.36,120.36,2361500.0
2005-02-18,120.36,120.67,120.09,120.5,393000.0
2005-02-22,120.02,120.6,118.76,118.76,983300.0
2005-02-23,119.08,119.69,118.83,119.64,546700.0
2005-02-24,119.43,120.47,119.18,120.36,374200.0
2005-02-25,120.41,121.65,120.35,121.57,1302400.0
2005-02-28,121.24,121.48,120.26,120.75,525800.0
2005-03-01,121.03,121.65,121.03,121.43,367800.0
2005-03-02,120.95,122.03,120.81,121.4,446200.0
2005-03-03,121.78,122.01,120.9,121.42,235600.0
2005-03-04,122.14,122.93,121.98,122.85,297000.0
2005-03-07,122.79,123.36,122.74,122.98,549300.0
2005-03-08,122.81,123.03,122.3,122.46,392800.0
2005-03-09,122.2,122.43,121.16,121.18,518900.0
2005-03-10,121.45,121.63,120.65,121.47,1128400.0
2005-03-11,121.43,121.93,120.37,120.61,450500.0
2005-03-14,120.8,121.29,120.5,121.29,345000.0
2005-03-15,121.55,121.61,120.28,120.33,392700.0
2005-03-16,119.97,120.01,119.08,119.28,423900.0
2005-03-17,119.49,119.86,119.14,119.57,583300.0
2005-03-18,119.73,119.73,118.77,119.09,624100.0
2005-03-21,119.31,119.36,118.36,118.74,1555400.0
2005-03-22,118.93,119.47,117.49,117.49,1572000.0
2005-03-23,117.62,118.16,117.4,117.69,701000.0
2005-03-24,118.03,118.56,117.69,117.72,477100.0
2005-03-28,117.23,117.79,117.2,117.23,633200.0
2005-03-29,116.96,117.8,116.18,116.51,558000.0
2005-03-30,116.64,118.1,116.61,118.1,590900.0
2005-03-31,117.94,118.31,117.75,117.82,1204300.0
2005-04-01,118.6,118.85,116.81,117.24,592300.0
2005-04-04,117.3,117.71,116.62,117.57,429300.0
2005-04-05,117.6,118.23,117.6,117.99,401400.0
2005-04-06,118.32,118.85,118.08,118.55,275100.0
2005-04-07,118.35,119.18,118.25,119.1,224800.0
2005-04-08,119.07,119.07,117.87,117.87,150000.0
2005-04-11,118.24,118.31,117.79,118.0,620500.0
2005-04-12,117.76,118.92,117.0,118.67,451500.0
2005-04-13,118.39,118.56,117.01,117.23,359900.0
2005-04-14,117.25,117.38,115.73,115.73,770700.0
2005-04-15,115.65,116.04,114.05,114.07,553700.0
2005-04-18,114.14,114.82,113.9,114.4,2576100.0
2005-04-19,114.96,115.42,114.74,115.31,787400.0
2005-04-20,115.33,115.46,113.53,113.66,586600.0
2005-04-21,114.81,116.0,114.28,115.9,514800.0
2005-04-22,115.65,115.84,114.19,115.48,417600.0
2005-04-25,115.85,116.35,115.62,116.25,1196000.0
2005-04-26,115.87,116.49,115.09,115.14,356600.0
2005-04-27,114.83,115.95,114.37,115.57,685800.0
2005-04-28,115.3,115.58,114.07,114.07,474100.0
2005-04-29,114.92,115.77,113.9,115.7,644900.0
2005-05-02,115.96,116.31,115.41,116.2,424700.0
2005-05-03,115.99,116.7,115.59,116.52,532500.0
2005-05-04,116.45,117.59,116.17,117.34,208700.0
2005-05-05,117.53,117.89,116.71,117.31,506100.0
2005-05-06,117.77,117.8,117.04,117.05,206600.0
2005-05-09,117.12,117.92,116.95,117.74,220400.0
2005-05-10,117.26,117.33,116.28,116.51,465000.0
2005-05-11,116.9,117.25,115.78,117.22,420600.0
2005-05-12,117.23,117.41,115.88,115.9,409000.0
2005-05-13,116.16,116.5,114.7,115.67,507300.0
2005-05-16,115.58,116.72,115.58,116.71,700700.0
2005-05-17,116.32,117.56,116.11,117.48,260600.0
2005-05-18,117.96,118.91,117.88,118.74,620500.0
2005-05-19,118.85,119.28,118.61,119.21,379500.0
2005-05-20,119.24,119.24,118.66,119.07,393500.0
2005-05-23,119.12,119.91,119.07,119.68,1259100.0
2005-05-24,119.31,119.71,119.11,119.45,620700.0
2005-05-25,119.25,119.33,118.72,119.25,569400.0
2005-05-26,119.58,120.09,119.52,119.94,328600.0
2005-05-27,119.91,120.15,119.75,120.15,206500.0
2005-05-31,119.98,119.98,119.29,119.34,464500.0
2005-06-01,119.42,120.81,119.4,120.46,491500.0
2005-06-02,120.2,120.7,120.04,120.7,594200.0
2005-06-03,120.4,120.73,119.67,119.98,222400.0
2005-06-06,119.87,120.08,119.5,120.03,1244700.0
2005-06-07,120.21,121.13,119.94,120.07,684400.0
2005-06-08,120.3,120.46,119.59,119.8,204200.0
2005-06-09,119.58,120.44,119.38,120.33,384700.0
2005-06-10,120.4,120.5,119.52,120.14,384400.0
2005-06-13,119.84,120.95,119.74,120.6,439100.0
2005-06-14,120.4,121.03,120.26,120.78,485400.0
2005-06-15,121.05,121.22,120.14,120.98,460100.0
2005-06-16,120.95,121.54,120.85,121.35,787800.0
2005-06-17,121.96,122.25,121.61,121.79,588800.0
2005-06-20,121.56,122.21,121.36,121.85,523100.0
2005-06-21,121.39,121.62,121.09,121.48,485900.0
2005-06-22,121.63,121.84,121.06,121.61,652800.0
2005-06-23,121.31,121.56,119.89,119.94,933700.0
2005-06-24,119.8,119.93,118.86,119.0,790000.0
2005-06-27,118.85,119.37,118.8,119.19,685500.0
2005-06-28,119.48,120.24,119.39,120.24,680700.0
2005-06-29,120.34,120.36,119.8,119.89,645000.0
2005-06-30,120.12,120.32,119.03,119.11,811000.0
2005-07-01,119.5,119.81,119.25,119.53,626200.0
2005-07-05,119.28,120.65,119.22,120.49,1088100.0
2005-07-06,120.43,120.64,119.43,119.5,1581200.0
2005-07-07,118.32,119.95,118.3,119.89,780800.0
2005-07-08,119.79,121.33,119.76,121.33,434500.0
2005-07-11,121.34,122.07,121.31,121.93,2240100.0
2005-07-12,121.92,122.56,121.66,122.23,1042600.0
2005-07-13,122.28,122.48,121.98,122.48,446900.0
2005-07-14,122.96,123.39,122.5,122.8,581300.0
2005-07-15,122.84,123.01,122.38,122.86,1026100.0
2005-07-18,122.56,122.62,122.14,122.41,339200.0
2005-07-19,122.71,123.08,122.5,123.03,625600.0
2005-07-20,122.63,123.73,122.31,123.45,559700.0
2005-07-21,123.59,123.63,122.52,122.77,800400.0
2005-07-22,122.81,123.54,122.62,123.54,1002100.0
2005-07-25,123.54,123.95,122.86,123.24,516600.0
2005-07-26,123.31,123.53,122.96,123.34,330200.0
2005-07-27,123.5,123.88,123.06,123.73,551800.0
2005-07-28,124.02,124.63,123.66,124.57,571800.0
2005-07-29,124.4,124.63,123.51,123.7,395100.0
2005-08-01,123.85,124.04,123.46,123.57,470500.0
2005-08-02,123.85,124.59,123.8,124.4,929000.0
2005-08-03,124.25,124.73,124.16,124.67,495800.0
2005-08-04,124.25,124.31,123.62,123.68,544100.0
2005-08-05,123.48,123.5,122.68,122.85,482200.0
2005-08-08,123.19,123.4,122.41,122.58,1028700.0
2005-08-09,123.05,123.57,122.91,123.33,1040200.0
2005-08-10,123.89,124.5,122.85,123.42,574900.0
2005-08-11,123.31,124.02,123.05,123.74,915500.0
2005-08-12,123.58,123.65,122.78,122.97,474400.0
2005-08-15,123.12,123.85,122.85,123.7,478400.0
2005-08-16,123.4,123.5,122.1,122.15,455000.0
2005-08-17,122.24,122.83,122.04,122.3,933500.0
2005-08-18,121.98,122.5,121.84,122.14,359700.0
2005-08-19,122.61,122.8,122.24,122.39,470900.0
2005-08-22,122.55,123.18,121.9,122.43,2194300.0
2005-08-23,122.5,122.57,121.68,122.2,501800.0
2005-08-24,121.85,122.7,121.13,121.2,709900.0
2005-08-25,121.36,121.65,121.19,121.55,762200.0
2005-08-26,121.46,121.47,120.69,120.7,538500.0
2005-08-29,120.44,121.72,120.44,121.7,319700.0
2005-08-30,121.25,121.25,120.37,120.95,848200.0
2005-08-31,121.09,122.5,120.78,122.5,1246100.0
2005-09-01,122.48,123.14,121.97,122.4,894200.0
2005-09-02,122.69,122.75,122.03,122.03,530500.0
2005-09-06,122.69,123.77,122.68,123.65,561900.0
2005-09-07,123.68,124.08,123.47,124.0,375200.0
2005-09-08,123.68,123.97,123.34,123.55,492300.0
2005-09-09,123.87,124.71,123.82,124.6,864500.0
2005-09-12,124.49,124.64,124.3,124.35,395100.0
2005-09-13,124.25,124.76,123.55,123.72,592900.0
2005-09-14,123.79,123.92,123.04,123.27,496600.0
2005-09-15,123.56,123.64,122.9,123.1,950400.0
2005-09-16,123.77,124.27,123.41,124.0,843700.0
2005-09-19,123.96,124.03,123.18,123.6,437900.0
2005-09-20,123.7,124.11,122.43,122.51,414800.0
2005-09-21,122.38,122.38,121.32,121.51,758000.0
2005-09-22,121.37,122.13,120.98,122.03,710900.0
2005-09-23,121.76,122.34,121.44,122.01,841100.0
2005-09-26,122.14,122.22,121.14,121.56,784000.0
2005-09-27,121.6,121.97,121.05,121.75,1194500.0
2005-09-28,121.95,122.1,121.25,121.7,670500.0
2005-09-29,121.6,122.89,121.1,122.65,1242200.0
2005-09-30,122.6,123.0,122.48,123.0,631000.0
2005-10-03,122.96,123.32,122.45,122.5,786700.0
2005-10-04,122.86,123.01,121.24,121.3,767600.0
2005-10-05,121.3,121.3,119.55,119.6,1321400.0
2005-10-06,119.79,120.22,118.18,119.2,1187400.0
2005-10-07,119.6,120.0,119.15,119.7,1026200.0
2005-10-10,119.67,119.68,118.6,118.6,619400.0
2005-10-11,118.95,119.37,118.36,118.55,756100.0
2005-10-12,118.37,119.1,117.43,117.65,1907000.0
2005-10-13,117.49,118.05,116.88,117.6,992000.0
2005-10-14,118.1,118.8,117.61,118.7,1093700.0
2005-10-17,118.8,119.24,118.48,119.15,1029900.0
2005-10-18,118.9,118.94,117.8,117.8,568800.0
2005-10-19,117.59,119.8,117.15,119.8,1012700.0
2005-10-20,119.51,119.78,117.34,117.8,1605600.0
2005-10-21,118.36,118.76,117.57,118.15,750200.0
2005-10-24,118.63,120.1,118.52,120.1,1073100.0
2005-10-25,119.75,120.21,118.97,119.75,1155300.0
2005-10-26,119.48,120.54,119.22,119.41,1220500.0
2005-10-27,119.25,119.32,117.94,118.15,735700.0
2005-10-28,118.64,119.95,118.2,119.79,1438300.0
2005-10-31,120.3,121.3,120.3,120.36,454000.0
2005-11-01,120.6,120.91,120.27,120.42,659400.0
2005-11-02,120.22,121.67,120.18,121.6,540200.0
2005-11-03,122.21,122.65,121.78,122.2,687900.0
2005-11-04,122.37,122.43,121.58,122.2,797300.0
2005-11-07,122.42,122.59,121.9,122.24,1099500.0
2005-11-08,121.98,122.39,121.84,122.27,813900.0
2005-11-09,122.06,122.92,121.85,122.32,1079900.0
2005-11-10,122.38,123.51,121.76,123.48,868600.0
2005-11-11,123.41,123.85,123.33,123.82,988200.0
2005-11-14,123.7,124.02,123.43,123.81,536200.0
2005-11-15,123.65,124.13,122.94,123.22,903300.0
2005-11-16,123.52,123.56,123.0,123.56,2450700.0
2005-11-17,123.74,124.65,123.62,124.5,841600.0
2005-11-18,125.03,125.28,124.38,125.03,650000.0
