Date,Open,High,Low,Close,Volume
2005-01-03,66.59,66.66,65.58,65.66,653400.0
2005-01-04,65.97,65.97,64.91,65.12,1574400.0
2005-01-05,65.1,65.21,64.59,64.71,624600.0
2005-01-06,64.8,65.2,64.71,65.04,490600.0
2005-01-07,65.12,65.21,64.62,64.8,920200.0
2005-01-10,64.79,65.28,64.77,65.06,701000.0
2005-01-11,64.84,64.89,64.44,64.65,1061800.0
2005-01-12,64.69,64.85,64.15,64.8,747800.0
2005-01-13,64.72,64.98,64.36,64.49,612400.0
2005-01-14,64.67,64.92,64.45,64.87,419400.0
2005-01-18,64.8,65.61,64.65,65.53,1485400.0
2005-01-19,65.57,65.62,65.0,65.0,1334300.0
2005-01-20,64.91,64.93,64.56,64.62,427900.0
2005-01-21,64.86,64.94,64.32,64.32,410900.0
2005-01-24,64.57,64.8,64.26,64.4,528400.0
2005-01-25,64.43,64.75,64.29,64.46,485500.0
2005-01-26,64.62,64.76,64.4,64.58,429300.0
2005-01-27,64.65,64.92,64.45,64.63,439300.0
2005-01-28,64.73,64.73,64.27,64.52,312400.0
2005-01-31,65.01,65.23,64.91,65.21,744000.0
2005-02-01,65.33,65.84,65.25,65.78,448000.0
2005-02-02,65.83,66.13,65.69,66.04,345000.0
2005-02-03,65.92,66.02,65.72,65.93,567600.0
2005-02-04,65.91,66.75,65.91,66.67,309200.0
2005-02-07,66.65,66.77,66.46,66.53,1036300.0
2005-02-08,66.67,66.82,66.57,66.69,379700.0
2005-02-09,66.76,66.79,66.25,66.27,433900.0
2005-02-10,66.51,66.73,66.37,66.66,679900.0
2005-02-11,66.64,67.21,66.42,67.02,529500.0
2005-02-14,66.9,67.16,66.9,67.06,478900.0
2005-02-15,67.19,67.38,67.03,67.32,322500.0
2005-02-16,67.25,67.57,67.06,67.39,334400.0
2005-02-17,67.54,67.54,66.92,66.97,790200.0
2005-02-18,66.98,67.03,66.77,66.97,501700.0
2005-02-22,66.67,66.99,65.84,65.84,597500.0
2005-02-23,66.23,66.54,66.05,66.52,1173000.0
2005-02-24,66.48,67.0,66.34,66.99,645600.0
2005-02-25,67.04,67.8,67.0,67.71,1839200.0
2005-02-28,67.56,67.69,67.0,67.44,664900.0
2005-03-01,67.54,67.74,67.47,67.58,1381400.0
2005-03-02,67.31,67.95,67.31,67.69,941400.0
2005-03-03,67.88,68.01,67.41,67.74,426000.0
2005-03-04,68.1,68.71,68.0,68.65,421800.0
2005-03-07,68.63,68.81,68.56,68.63,677700.0
2005-03-08,68.62,68.65,68.32,68.39,425200.0
2005-03-09,68.18,68.32,67.45,67.52,392900.0
2005-03-10,67.66,67.67,67.09,67.56,630500.0
2005-03-11,67.66,67.92,67.16,67.29,861800.0
2005-03-14,67.4,67.82,67.36,67.82,834000.0
2005-03-15,68.1,68.11,67.35,67.35,496500.0
2005-03-16,67.08,67.21,66.67,66.83,385600.0
2005-03-17,66.97,67.2,66.79,67.1,514900.0
2005-03-18,67.19,67.21,66.68,66.87,465600.0
2005-03-21,66.95,67.05,66.4,66.73,431500.0
2005-03-22,66.83,67.09,65.81,65.81,658700.0
2005-03-23,65.92,65.99,65.56,65.76,716800.0
2005-03-24,65.39,65.68,65.16,65.26,636700.0
2005-03-28,65.4,65.62,65.29,65.33,527800.0
2005-03-29,65.33,65.64,64.69,64.83,480700.0
2005-03-30,65.13,65.73,65.01,65.73,765500.0
2005-03-31,65.95,66.08,65.78,65.81,725100.0
2005-04-01,66.32,66.58,65.46,65.72,909900.0
2005-04-04,66.67,66.67,65.36,65.81,437700.0
2005-04-05,65.77,66.13,65.72,65.76,432800.0
2005-04-06,66.06,66.39,66.0,66.3,454400.0
2005-04-07,66.3,66.59,66.22,66.5,366200.0
2005-04-08,66.56,66.58,65.94,65.95,498600.0
2005-04-11,66.07,66.12,65.77,66.02,259100.0
2005-04-12,65.99,66.52,65.44,66.3,851300.0
2005-04-13,66.26,66.31,65.36,65.5,441300.0
2005-04-14,65.6,65.6,64.55,64.55,889900.0
2005-04-15,64.54,64.81,63.47,63.56,828300.0
2005-04-18,63.48,64.11,63.41,63.95,825800.0
2005-04-19,64.2,64.61,64.2,64.58,862200.0
2005-04-20,64.44,64.58,63.44,63.49,379200.0
2005-04-21,64.15,64.67,63.72,64.62,504900.0
2005-04-22,64.62,64.8,63.8,64.43,494500.0
2005-04-25,64.83,65.23,64.74,65.12,317200.0
2005-04-26,65.0,65.24,64.43,64.43,301000.0
2005-04-27,64.23,64.97,64.03,64.73,459700.0
2005-04-28,64.55,64.57,63.77,63.77,385800.0
2005-04-29,64.33,64.82,63.75,64.67,591300.0
2005-05-02,64.9,65.04,64.52,65.04,341000.0
2005-05-03,65.06,65.23,64.61,64.91,443100.0
2005-05-04,65.26,65.75,64.9,65.65,618300.0
2005-05-05,65.65,65.86,65.11,65.52,771600.0
2005-05-06,65.83,65.86,65.31,65.42,433500.0
2005-05-09,65.44,65.9,65.35,65.9,453200.0
2005-05-10,65.47,65.57,64.95,65.01,496900.0
2005-05-11,65.29,65.49,64.72,65.34,728200.0
2005-05-12,65.47,65.54,64.4,64.4,390900.0
2005-05-13,64.5,64.59,63.49,63.9,431600.0
2005-05-16,63.96,64.64,63.9,64.64,462500.0
2005-05-17,64.44,65.15,64.29,65.03,916300.0
2005-05-18,65.45,65.93,65.31,65.7,444800.0
2005-05-19,65.97,66.15,65.73,66.14,338000.0
2005-05-20,66.09,66.2,65.76,65.95,639600.0
2005-05-23,65.99,66.5,65.99,66.38,487400.0
2005-05-24,66.13,66.3,66.01,66.07,685300.0
2005-05-25,66.18,66.18,65.85,66.1,397700.0
2005-05-26,66.23,66.46,66.16,66.4,1070300.0
2005-05-27,66.49,66.62,66.32,66.55,530200.0
2005-05-31,66.59,66.61,66.2,66.21,544800.0
2005-06-01,66.21,67.09,66.21,66.91,1135300.0
2005-06-02,66.84,66.98,66.65,66.98,558400.0
2005-06-03,66.87,67.07,66.53,66.69,572100.0
2005-06-06,66.73,66.78,66.46,66.74,582800.0
2005-06-07,66.95,67.34,66.74,66.79,622200.0
2005-06-08,67.0,67.12,66.59,66.77,628700.0
2005-06-09,66.7,67.08,66.44,66.97,710100.0
2005-06-10,67.15,67.23,66.75,67.1,352100.0
2005-06-13,67.04,67.49,66.82,67.22,278800.0
2005-06-14,67.24,67.56,67.15,67.5,469000.0
2005-06-15,67.61,67.63,67.2,67.53,502000.0
2005-06-16,67.68,67.95,67.53,67.89,378900.0
2005-06-17,68.13,68.42,68.07,68.25,657100.0
2005-06-20,67.93,68.15,67.69,67.9,510200.0
2005-06-21,68.03,68.07,67.75,67.81,701700.0
2005-06-22,68.1,68.18,67.69,67.87,698300.0
2005-06-23,67.89,67.9,67.1,67.15,1329500.0
2005-06-24,67.15,67.17,66.58,66.58,799200.0
2005-06-27,66.7,66.85,66.55,66.8,719200.0
2005-06-28,66.98,67.26,66.8,67.12,1255400.0
2005-06-29,67.35,67.35,67.01,67.14,478900.0
2005-06-30,67.38,67.38,66.64,66.64,803100.0
2005-07-01,66.98,67.13,66.85,67.13,1473200.0
2005-07-05,66.97,67.65,66.85,67.61,1039200.0
2005-07-06,67.7,67.7,66.99,67.1,681300.0
2005-07-07,66.6,67.23,66.31,67.2,600800.0
2005-07-08,67.25,67.89,67.25,67.89,583900.0
2005-07-11,67.89,68.3,67.86,68.15,451100.0
2005-07-12,68.19,68.48,67.98,68.29,489000.0
2005-07-13,68.2,68.46,68.2,68.4,305100.0
2005-07-14,68.65,68.91,68.25,68.36,411700.0
2005-07-15,68.5,68.5,68.16,68.48,330300.0
2005-07-18,68.36,68.36,68.0,68.06,824900.0
2005-07-19,68.26,68.39,68.09,68.38,744100.0
2005-07-20,68.29,68.67,67.97,68.52,409900.0
2005-07-21,68.5,68.53,67.92,67.96,387000.0
2005-07-22,68.18,68.64,68.12,68.64,503200.0
2005-07-25,68.64,68.85,68.3,68.4,984200.0
2005-07-26,68.59,68.61,68.33,68.55,302100.0
2005-07-27,68.65,68.75,66.67,68.67,413300.0
2005-07-28,68.79,69.23,68.67,69.21,389800.0
2005-07-29,69.04,69.27,68.62,68.7,1445400.0
2005-08-01,68.86,68.89,68.58,68.6,1125500.0
2005-08-02,68.84,69.2,68.8,69.02,949600.0
2005-08-03,69.09,69.32,68.97,69.32,1695100.0
2005-08-04,68.95,69.12,68.66,68.72,594700.0
2005-08-05,68.58,68.64,68.03,68.1,497800.0
2005-08-08,68.19,68.44,67.88,67.98,666200.0
2005-08-09,68.3,68.45,68.18,68.37,749100.0
2005-08-10,68.74,69.07,68.23,68.55,375900.0
2005-08-11,68.58,68.94,68.39,68.91,402700.0
2005-08-12,68.76,68.88,68.36,68.59,348000.0
2005-08-15,68.77,68.94,68.41,68.79,310100.0
2005-08-16,68.75,68.79,68.0,68.12,423400.0
2005-08-17,68.26,68.35,67.96,67.96,746700.0
2005-08-18,67.92,68.12,67.75,67.9,435700.0
2005-08-19,68.25,68.3,68.05,68.12,481400.0
2005-08-22,68.35,68.55,67.94,68.15,312600.0
2005-08-23,68.29,68.33,67.8,68.13,459500.0
2005-08-24,68.0,68.29,67.51,67.51,749800.0
2005-08-25,67.72,67.85,67.55,67.85,413200.0
2005-08-26,67.79,67.79,67.26,67.3,384200.0
2005-08-29,67.26,68.47,67.04,67.66,632500.0
2005-08-30,67.55,67.6,67.18,67.59,596100.0
2005-08-31,67.68,68.36,67.4,68.36,771800.0
2005-09-01,68.45,68.93,68.23,68.74,416900.0
2005-09-02,68.9,68.9,68.37,68.4,368800.0
2005-09-06,68.76,69.2,68.66,69.11,355300.0
2005-09-07,69.15,69.32,69.0,69.26,524200.0
2005-09-08,69.13,69.21,68.9,69.07,364000.0
2005-09-09,69.28,69.77,69.22,69.62,463500.0
2005-09-12,69.71,69.75,69.5,69.59,401400.0
2005-09-13,69.45,69.49,69.0,69.13,436300.0
2005-09-14,69.17,69.32,68.94,69.11,609400.0
2005-09-15,69.28,69.29,68.94,68.99,697500.0
2005-09-16,69.45,69.85,69.26,69.75,442400.0
2005-09-19,69.71,69.74,69.38,69.59,268400.0
2005-09-20,69.8,69.83,68.93,69.06,634600.0
2005-09-21,68.86,68.9,68.33,68.42,712600.0
2005-09-22,68.43,68.61,67.99,68.5,530800.0
2005-09-23,68.2,68.2,67.72,68.05,401100.0
