Date,Open,High,Low,Close,Volume
2010-09-09,102.5,102.5,101.14,101.32,26513.0
2010-09-10,101.68,101.86,101.3,101.78,8638.0
2010-09-13,102.96,103.14,102.5,103.06,33752.0
2010-09-14,102.84,103.48,102.38,103.04,59420.0
2010-09-15,102.62,103.38,102.4,103.3,9283.0
2010-09-16,103.02,103.32,102.7,103.26,59580.0
2010-09-17,103.88,103.88,103.02,103.36,49365.0
2010-09-20,103.74,105.04,103.46,105.04,19006.0
2010-09-21,105.02,105.44,104.28,104.72,19286.0
2010-09-22,104.56,105.04,103.96,104.16,18148.0
2010-09-23,103.32,104.34,103.12,103.31,33358.0
2010-09-24,103.94,104.9,103.87,104.84,24126.0
2010-09-27,104.98,104.98,104.34,104.34,15044.0
2010-09-28,104.32,105.02,103.42,105.02,49853.0
2010-09-29,104.58,104.91,104.22,104.52,15890.0
2010-09-30,105.2,105.68,103.96,104.36,44707.0
2010-10-01,105.08,105.16,104.16,104.72,17065.0
2010-10-04,105.26,105.26,103.5,103.84,88698.0
2010-10-05,105.02,106.2,104.82,106.12,19836.0
2010-10-06,106.12,106.28,105.62,105.94,276890.0
2010-10-07,106.5,106.5,105.32,105.88,49868.0
2010-10-08,106.02,106.74,105.66,106.68,61519.0
2010-10-11,106.72,106.84,106.28,106.5,14182.0
2010-10-12,106.38,107.24,105.74,107.12,42019.0
2010-10-13,107.58,108.28,107.24,107.76,74418.0
2010-10-14,107.7,107.82,106.8,107.36,19074.0
2010-10-15,108.04,108.08,106.72,107.56,54913.0
2010-10-18,107.62,108.44,107.44,108.34,22848.0
2010-10-19,107.14,107.68,106.02,106.62,38548.0
2010-10-20,106.94,108.16,106.94,107.76,22798.0
2010-10-21,108.26,108.76,107.31,107.92,29368.0
2010-10-22,108.16,108.2,107.94,108.18,24846.0
2010-10-25,109.02,109.28,108.46,108.5,29563.0
2010-10-26,107.92,108.55,107.88,108.48,14976.0
2010-10-27,107.74,108.22,107.22,108.14,17106.0
2010-10-28,108.76,108.82,107.76,108.22,19229.0
2010-10-29,108.1,108.42,108.0,108.3,13358.0
2010-11-01,108.92,109.42,107.76,108.36,51504.0
2010-11-02,109.22,109.42,108.86,109.2,26077.0
2010-11-03,109.42,109.66,108.32,109.66,31832.0
