Date,Open,High,Low,Close,Volume
2005-01-03,108.15,108.59,106.93,107.32,11255500.0
2005-01-04,107.5,107.6,105.89,106.3,10574400.0
2005-01-05,106.3,106.78,105.71,105.71,10755000.0
2005-01-06,106.13,106.66,105.83,106.04,8177100.0
2005-01-07,106.36,106.5,105.63,105.9,8410100.0
2005-01-10,105.84,106.63,105.77,106.2,5930700.0
2005-01-11,105.9,105.91,105.27,105.52,7015500.0
2005-01-12,105.58,106.23,104.96,105.99,10442500.0
2005-01-13,105.96,106.1,104.81,104.95,7593400.0
2005-01-14,105.17,105.65,105.05,105.44,5727100.0
2005-01-18,105.25,106.33,105.0,106.16,6505400.0
2005-01-19,106.15,106.25,105.25,105.25,6355200.0
2005-01-20,105.06,105.48,104.58,104.72,8631500.0
2005-01-21,104.95,105.03,103.78,103.84,7617000.0
2005-01-24,104.11,104.31,103.6,103.75,9801200.0
2005-01-25,104.07,105.01,104.05,104.56,9726100.0
2005-01-26,104.92,105.25,104.68,104.79,7779900.0
2005-01-27,104.45,104.83,104.21,104.57,8337300.0
2005-01-28,104.54,104.65,103.76,104.45,7533500.0
2005-01-31,104.98,105.05,104.48,104.8,5321900.0
2005-02-01,105.02,105.64,104.84,105.4,4622700.0
2005-02-02,105.46,106.13,105.35,105.88,4564900.0
2005-02-03,105.7,105.95,105.44,105.9,4718800.0
2005-02-04,105.8,107.21,105.76,107.0,6286900.0
2005-02-07,106.93,107.27,106.91,107.01,3691900.0
2005-02-08,107.06,107.42,106.91,107.25,5004100.0
2005-02-09,107.42,107.48,106.63,106.74,6735200.0
2005-02-10,107.03,107.7,106.93,107.56,5130800.0
2005-02-11,107.42,108.39,107.14,108.09,4643300.0
2005-02-14,107.98,108.12,107.84,107.98,3683000.0
2005-02-15,108.06,108.61,107.92,108.47,4705100.0
2005-02-16,108.28,108.68,108.09,108.45,4265200.0
2005-02-17,108.46,108.56,107.69,107.72,5708100.0
2005-02-18,107.48,107.84,107.2,107.81,4867200.0
2005-02-22,107.33,107.67,106.0,106.06,8890500.0
2005-02-23,106.35,106.95,106.19,106.83,6287500.0
2005-02-24,106.64,107.55,106.36,107.41,7081300.0
2005-02-25,107.42,108.42,107.3,108.36,4924600.0
2005-02-28,108.11,108.25,107.26,107.7,7451500.0
2005-03-01,107.76,108.49,107.76,108.21,5299000.0
2005-03-02,107.81,108.69,107.74,108.07,7634100.0
2005-03-03,108.42,108.67,107.64,108.25,7760000.0
2005-03-04,108.91,109.61,108.65,109.55,6081500.0
2005-03-07,109.39,109.83,109.3,109.33,4113100.0
2005-03-08,109.29,109.52,108.96,109.16,7480800.0
2005-03-09,108.83,109.23,108.0,108.04,5045800.0
2005-03-10,108.21,108.73,107.74,108.47,5199100.0
2005-03-11,108.49,108.81,107.65,107.84,3475700.0
2005-03-14,107.95,108.16,107.58,108.14,3468000.0
2005-03-15,108.39,108.48,107.51,107.57,3861900.0
2005-03-16,106.95,107.11,106.19,106.35,6360800.0
2005-03-17,106.56,106.68,106.04,106.29,4356000.0
2005-03-18,106.38,106.44,105.44,105.96,9938000.0
2005-03-21,106.04,106.12,105.23,105.42,7246900.0
2005-03-22,105.54,106.03,104.44,104.53,6899500.0
2005-03-23,104.56,105.55,104.21,104.36,7137900.0
2005-03-24,104.72,105.15,104.34,104.4,5012900.0
2005-03-28,104.6,105.23,104.56,104.76,4876200.0
