Date,Open,High,Low,Close,Volume
2006-06-21,68.97,68.97,68.96,68.96,400.0
2006-06-22,69.31,69.73,69.29,69.5,29000.0
2006-06-23,69.78,69.8,69.24,69.67,21400.0
2006-06-26,69.85,69.95,69.49,69.85,6700.0
2006-06-27,69.48,70.27,69.44,70.25,16800.0
2006-06-28,70.0,70.37,69.98,70.04,21000.0
2006-06-29,69.59,69.63,68.55,68.6,63800.0
2006-06-30,68.35,68.67,68.35,68.44,6900.0
2006-07-03,68.5,68.61,68.4,68.4,11900.0
2006-07-05,68.88,69.0,68.75,68.85,26200.0
2006-07-06,68.7,68.7,68.23,68.49,28600.0
2006-07-07,68.49,69.37,68.49,69.22,59500.0
2006-07-10,69.1,69.25,68.74,69.15,22900.0
2006-07-11,69.3,69.72,68.97,69.1,58100.0
2006-07-12,69.08,69.93,68.95,69.82,103000.0
2006-07-13,70.35,71.01,70.06,71.0,139900.0
2006-07-14,71.05,71.89,70.92,71.5,135000.0
2006-07-17,71.45,71.85,71.25,71.62,71900.0
2006-07-18,71.2,72.04,71.14,71.35,143500.0
2006-07-19,70.75,70.87,69.69,69.81,122800.0
2006-07-20,69.7,70.45,69.6,70.45,42800.0
2006-07-21,70.39,70.99,70.32,70.72,76000.0
2006-07-24,70.2,70.49,69.62,69.74,78400.0
2006-07-25,69.8,70.01,69.22,69.32,74300.0
2006-07-26,69.5,69.66,69.13,69.4,65000.0
2006-07-27,69.0,69.48,68.86,69.42,96200.0
2006-07-28,69.12,69.12,68.56,68.78,79300.0
2006-07-31,68.97,69.0,68.79,68.87,56700.0
2006-08-01,68.95,69.61,68.95,69.4,80100.0
2006-08-02,69.15,69.19,68.7,68.96,35400.0
2006-08-03,69.2,69.2,68.45,68.61,60000.0
2006-08-04,68.1,69.9,68.05,68.71,129700.0
2006-08-07,68.96,69.0,68.7,68.87,51800.0
2006-08-08,68.7,69.34,68.51,69.07,125200.0
2006-08-09,68.8,69.78,68.65,69.73,107100.0
2006-08-10,69.8,69.88,69.28,69.43,99200.0
2006-08-11,69.55,69.9,69.43,69.63,69900.0
2006-08-14,69.15,69.73,68.95,69.7,90100.0
2006-08-15,68.9,69.14,68.78,68.89,101200.0
2006-08-16,68.65,68.65,68.11,68.25,84600.0
2006-08-17,68.25,68.29,67.92,68.18,66800.0
2006-08-18,67.95,68.24,67.9,67.93,72100.0
2006-08-21,68.05,68.28,68.05,68.18,62600.0
2006-08-22,68.3,68.4,67.92,68.24,65800.0
2006-08-23,68.12,68.63,68.04,68.51,68800.0
2006-08-24,68.4,68.62,68.24,68.42,50600.0
2006-08-25,68.65,68.65,68.37,68.6,45900.0
2006-08-28,68.55,68.56,67.96,68.22,45600.0
2006-08-29,68.2,68.53,68.07,68.12,46400.0
2006-08-30,67.95,68.13,67.9,67.99,32600.0
2006-08-31,67.87,68.13,67.87,67.98,32500.0
2006-09-01,67.9,67.9,67.51,67.6,79700.0
2006-09-05,67.65,67.74,67.49,67.58,50100.0
2006-09-06,67.86,68.02,67.8,67.95,77700.0
2006-09-07,68.27,68.46,68.08,68.45,101800.0
2006-09-08,68.4,68.4,68.05,68.11,39900.0
2006-09-11,68.35,68.44,67.97,68.12,54600.0
2006-09-12,68.1,68.1,67.47,67.59,67400.0
2006-09-13,67.54,67.56,67.1,67.25,48700.0
2006-09-14,67.3,67.51,67.25,67.31,35900.0
2006-09-15,66.95,67.24,66.89,67.24,60900.0
2006-09-18,67.3,67.39,67.1,67.25,68000.0
2006-09-19,67.3,67.69,67.21,67.39,92500.0
2006-09-20,67.2,67.2,66.86,66.9,75700.0
2006-09-21,66.9,67.58,66.88,67.43,83200.0
2006-09-22,67.49,67.76,67.49,67.62,92400.0
2006-09-25,67.37,67.73,67.0,67.22,87400.0
2006-09-26,67.17,67.3,66.7,66.73,105500.0
2006-09-27,66.75,66.75,66.41,66.6,145200.0
2006-09-28,66.48,66.82,66.4,66.5,35500.0
2006-09-29,66.55,66.76,66.38,66.74,33700.0
2006-10-02,66.8,66.89,66.52,66.8,37100.0
2006-10-03,66.9,66.96,66.33,66.53,63100.0
2006-10-04,66.56,66.61,65.78,65.78,81800.0
2006-10-05,65.85,65.92,65.66,65.7,53900.0
2006-10-06,65.9,66.05,65.8,65.85,55100.0
2006-10-09,65.93,66.06,65.71,65.84,33700.0
2006-10-10,65.76,65.95,65.76,65.77,27000.0
2006-10-11,66.03,66.23,65.81,65.86,64200.0
2006-10-12,65.7,65.7,65.32,65.4,50200.0
2006-10-13,65.4,65.6,65.33,65.35,40200.0
2006-10-16,65.3,65.45,65.16,65.25,29200.0
2006-10-17,65.45,65.79,65.32,65.32,80800.0
2006-10-18,64.91,65.44,64.91,65.23,54500.0
2006-10-19,65.36,65.36,65.03,65.08,34100.0
2006-10-20,65.1,65.42,65.1,65.25,46400.0
2006-10-23,65.2,65.22,64.56,64.6,58400.0
2006-10-24,64.77,64.85,64.53,64.56,26000.0
2006-10-25,64.59,64.8,64.48,64.55,44700.0
2006-10-26,64.4,64.74,64.36,64.4,55300.0
2006-10-27,64.65,64.91,64.47,64.74,39700.0
2006-10-30,64.92,65.06,64.69,64.89,63100.0
2006-10-31,64.78,65.22,64.73,64.94,49800.0
2006-11-01,64.7,65.3,64.7,65.17,71600.0
2006-11-02,65.33,65.45,65.2,65.31,42600.0
2006-11-03,64.3,65.55,64.3,65.52,104700.0
2006-11-06,65.4,65.4,64.77,64.89,64100.0
2006-11-07,64.9,64.9,64.4,64.63,123500.0
2006-11-08,64.85,64.85,64.39,64.45,64400.0
2006-11-09,64.52,64.92,64.41,64.87,138400.0
2006-11-10,64.81,65.02,64.78,64.9,24000.0
2006-11-13,64.86,64.89,64.52,64.69,57800.0
2006-11-14,64.52,64.97,64.18,64.27,78900.0
2006-11-15,64.18,64.19,63.87,64.03,73900.0
2006-11-16,63.86,64.05,63.73,63.85,120100.0
2006-11-17,64.0,64.0,63.68,63.72,50300.0
2006-11-20,63.69,63.89,63.63,63.75,78700.0
2006-11-21,63.82,63.87,63.7,63.83,117300.0
2006-11-22,63.81,63.9,63.63,63.72,49400.0
2006-11-24,64.09,64.1,63.88,64.01,14200.0
2006-11-27,64.2,64.95,64.2,64.89,121000.0
2006-11-28,65.08,65.19,64.78,64.85,102400.0
2006-11-29,64.55,64.69,64.3,64.37,75300.0
2006-11-30,64.25,64.7,64.1,64.38,128900.0
2006-12-01,64.25,65.1,64.25,64.6,110300.0
2006-12-04,64.45,64.47,64.0,64.15,68700.0
2006-12-05,64.15,64.2,63.88,63.91,53700.0
2006-12-06,63.94,64.06,63.86,64.02,19200.0
2006-12-07,63.89,64.26,63.78,64.2,76100.0
2006-12-08,64.3,64.41,63.94,64.07,85200.0
