Date,Open,High,Low,Close,Volume
2005-01-03,58.2,58.25,57.3,57.38,81200.0
2005-01-04,57.5,57.59,56.54,56.7,42800.0
2005-01-05,56.65,56.87,56.26,56.26,38700.0
2005-01-06,56.3,56.8,56.3,56.59,62500.0
2005-01-07,56.7,56.72,56.27,56.46,25600.0
2005-01-10,56.4,56.94,56.4,56.58,17400.0
2005-01-11,56.4,56.56,56.21,56.36,37300.0
2005-01-12,56.36,56.55,56.0,56.51,48100.0
2005-01-13,56.51,56.58,56.02,56.15,23000.0
2005-01-14,56.31,56.54,56.14,56.47,14100.0
2005-01-18,56.39,57.01,56.29,57.01,32000.0
2005-01-19,57.08,57.08,56.46,56.46,22500.0
2005-01-20,56.2,56.37,56.05,56.18,37400.0
2005-01-21,56.25,56.31,55.74,55.76,30300.0
2005-01-24,56.0,56.0,55.55,55.63,34300.0
2005-01-25,55.65,56.04,55.65,55.75,29700.0
2005-01-26,55.8,56.15,55.78,56.13,33400.0
2005-01-27,55.9,56.23,55.87,56.1,30800.0
2005-01-28,56.15,56.15,55.71,56.03,21800.0
2005-01-31,56.2,56.47,56.2,56.37,30800.0
2005-02-01,56.55,56.86,56.41,56.76,29200.0
2005-02-02,56.9,57.05,56.82,57.03,26000.0
2005-02-03,56.9,56.95,56.65,56.95,17300.0
2005-02-04,56.99,57.53,56.99,57.53,18700.0
2005-02-07,57.5,57.64,57.37,57.42,185600.0
2005-02-08,57.5,57.68,57.35,57.45,38600.0
2005-02-09,57.5,57.5,57.0,57.02,17700.0
2005-02-10,57.13,57.27,56.9,57.17,32800.0
2005-02-11,57.17,57.79,57.01,57.7,11200.0
2005-02-14,57.71,57.75,57.55,57.68,15300.0
2005-02-15,57.7,58.06,57.69,57.9,40000.0
2005-02-16,57.85,58.01,57.64,57.88,25300.0
2005-02-17,58.0,58.0,57.5,57.5,31700.0
2005-02-18,57.45,57.58,57.34,57.58,19000.0
2005-02-22,57.31,57.54,56.66,56.69,44000.0
2005-02-23,56.8,57.09,56.7,57.0,31000.0
2005-02-24,57.0,57.5,56.79,57.41,17800.0
2005-02-25,57.5,58.06,57.46,58.06,12200.0
2005-02-28,57.9,57.99,57.44,57.65,19100.0
2005-03-01,57.7,58.1,57.7,58.0,22000.0
2005-03-02,57.8,58.27,57.67,58.03,28500.0
2005-03-03,58.15,58.25,57.75,58.0,8900.0
2005-03-04,58.2,58.71,58.2,58.52,28800.0
2005-03-07,58.7,58.95,58.68,58.76,15600.0
2005-03-08,58.75,58.8,58.37,58.5,25100.0
2005-03-09,58.31,58.38,57.88,57.88,22500.0
2005-03-10,58.0,58.0,57.53,57.86,25200.0
2005-03-11,57.91,58.13,57.43,57.64,26100.0
2005-03-14,57.5,57.78,57.5,57.59,18800.0
2005-03-15,58.2,58.2,57.53,57.53,17800.0
2005-03-16,57.33,57.33,56.9,56.99,46600.0
2005-03-17,57.05,57.29,56.98,57.21,16300.0
2005-03-18,57.29,57.29,56.75,57.03,28900.0
2005-03-21,57.0,57.07,56.58,56.85,36900.0
2005-03-22,56.85,57.18,56.28,56.36,59300.0
2005-03-23,56.36,56.49,56.15,56.37,35100.0
2005-03-24,56.5,56.55,56.19,56.21,19600.0
2005-03-28,56.35,56.44,56.24,56.25,36300.0
2005-03-29,56.24,56.46,55.73,55.73,17900.0
2005-03-30,55.9,56.5,55.9,56.5,16900.0
2005-03-31,56.53,56.65,56.41,56.53,29900.0
2005-04-01,56.85,56.98,56.06,56.22,30500.0
2005-04-04,56.25,56.39,55.94,56.26,18000.0
2005-04-05,56.45,56.65,56.45,56.6,17900.0
