Date,Open,High,Low,Close,Volume
2006-06-21,70.07,70.07,69.05,69.19,4400.0
2006-06-22,69.55,70.02,69.5,69.74,7200.0
2006-06-23,69.96,69.98,69.32,69.76,8100.0
2006-06-26,69.8,69.8,69.49,69.54,8800.0
2006-06-27,69.5,70.17,69.5,70.14,17700.0
2006-06-28,70.04,70.25,69.78,69.78,123700.0
2006-06-29,69.39,69.39,68.22,68.25,54600.0
2006-06-30,68.2,68.35,68.13,68.35,16400.0
2006-07-03,68.25,68.31,67.92,67.95,21600.0
2006-07-05,68.43,68.74,68.4,68.45,37800.0
2006-07-06,68.3,68.49,68.08,68.35,36200.0
2006-07-07,68.53,68.97,68.31,68.84,73600.0
2006-07-10,68.62,68.92,68.4,68.77,30300.0
2006-07-11,68.94,69.21,68.41,68.43,77700.0
2006-07-12,68.4,69.35,68.4,69.25,113900.0
2006-07-13,69.6,70.24,69.41,70.18,224400.0
2006-07-14,70.37,71.0,70.24,70.48,192800.0
2006-07-17,70.6,70.83,70.31,70.7,137700.0
2006-07-18,70.6,71.21,70.33,70.5,113700.0
2006-07-19,70.4,70.4,69.16,69.26,217900.0
2006-07-20,69.02,69.94,69.02,69.94,49100.0
2006-07-21,69.94,70.53,69.93,70.39,92200.0
2006-07-24,70.0,70.05,69.17,69.24,125600.0
2006-07-25,69.3,69.5,68.63,68.89,33700.0
2006-07-26,69.01,69.23,68.54,68.79,37900.0
2006-07-27,68.52,69.28,68.5,69.2,82400.0
2006-07-28,69.5,69.5,68.28,68.41,50200.0
2006-07-31,68.59,68.76,68.4,68.42,210900.0
2006-08-01,68.9,69.09,68.76,68.87,82200.0
2006-08-02,68.6,68.6,68.13,68.45,25600.0
2006-08-03,68.83,68.83,68.11,68.3,22400.0
2006-08-04,67.5,68.72,67.35,68.44,66900.0
2006-08-07,68.6,68.77,68.47,68.64,18800.0
2006-08-08,68.49,69.05,68.26,68.94,107100.0
2006-08-09,68.27,69.24,68.23,69.18,44300.0
2006-08-10,69.2,69.48,68.81,68.95,92500.0
2006-08-11,69.15,69.41,69.07,69.19,46500.0
2006-08-14,68.65,69.17,68.51,69.05,92500.0
2006-08-15,68.51,68.59,68.16,68.27,46100.0
2006-08-16,67.85,68.05,67.59,67.75,140800.0
2006-08-17,67.77,67.8,67.36,67.56,54200.0
2006-08-18,67.6,67.81,67.35,67.4,61200.0
2006-08-21,67.63,67.7,67.53,67.61,44900.0
2006-08-22,67.7,67.82,67.41,67.61,43300.0
2006-08-23,67.58,68.06,67.43,67.96,68000.0
2006-08-24,67.78,68.02,67.71,67.8,59500.0
2006-08-25,67.93,67.94,67.61,67.82,44600.0
2006-08-28,67.8,67.94,67.39,67.5,43200.0
2006-08-29,67.61,67.88,67.32,67.41,48200.0
2006-08-30,67.41,67.51,67.26,67.41,26300.0
2006-08-31,67.3,67.53,67.3,67.39,43900.0
