Date,Open,High,Low,Close,Volume
2012-06-11,24.3,24.32,22.67,22.76,709758.0
2012-06-15,24.01,24.46,23.86,24.36,364860.0
2012-06-26,23.01,23.41,22.66,23.21,461583.0
2012-06-27,23.41,23.95,23.38,23.83,417297.0
2012-07-02,25.62,25.68,25.07,25.59,306990.0
2012-07-03,25.62,26.15,25.57,26.11,258636.0
2012-07-05,25.82,26.05,25.55,25.76,121620.0
2012-07-06,25.02,25.14,24.72,25.06,158643.0
2012-07-09,24.99,25.02,24.6,24.95,246327.0
2012-07-10,25.32,25.42,24.04,24.29,574392.0
2012-07-11,24.32,24.51,23.87,24.29,536934.0
2012-07-12,23.86,24.24,23.45,23.91,503901.0
2012-07-13,24.11,25.2,24.1,25.1,431082.0
2012-07-16,24.93,25.18,24.67,24.95,263127.0
2012-07-17,25.25,25.58,24.5,25.45,494124.0
2012-07-18,25.29,26.17,25.26,26.01,165432.0
2012-07-19,26.2,26.47,25.94,26.24,351381.0
2012-07-20,25.78,25.86,25.43,25.5,431400.0
2012-07-23,24.38,24.93,24.04,24.75,444480.0
2012-07-24,24.8,24.81,23.6,24.13,622866.0
2012-07-25,24.27,24.42,23.77,24.08,448287.0
2012-07-26,25.16,25.43,24.82,25.26,385755.0
2012-07-27,25.68,26.9,25.57,26.7,641802.0
2012-07-30,26.59,27.05,26.45,26.68,320844.0
2012-07-31,26.57,26.79,26.17,26.25,351645.0
2012-08-01,26.68,26.69,25.97,26.09,1222671.0
2012-08-02,25.44,26.03,25.0,25.52,602997.0
2012-08-03,26.61,27.17,26.55,27.01,520944.0
2012-08-06,27.23,27.49,27.15,27.18,307533.0
2012-08-07,27.52,27.92,27.52,27.56,324519.0
2012-08-08,27.29,27.76,27.29,27.65,447117.0
2012-08-09,27.55,27.92,27.48,27.73,331062.0
2012-08-10,27.44,27.91,27.32,27.87,291648.0
2012-08-13,27.74,27.88,27.42,27.82,417018.0
2012-08-14,28.16,28.19,27.62,27.88,432585.0
2012-08-15,27.78,28.08,27.73,27.93,349902.0
2012-08-16,28.06,28.67,27.9,28.56,478656.0
2012-08-17,28.71,28.74,28.49,28.67,340809.0
2012-08-20,28.57,28.69,28.33,28.68,227007.0
2012-08-21,28.88,29.2,28.24,28.42,372834.0
2012-08-22,28.2,28.57,28.02,28.42,460893.0
2012-08-23,28.25,28.25,27.64,27.75,461220.0
2012-08-24,27.54,28.42,27.5,28.27,416001.0
2012-08-27,28.49,28.58,28.15,28.25,430557.0
2012-08-28,28.06,28.44,27.94,28.18,366102.0
2012-08-29,28.25,28.47,28.03,28.25,323004.0
2012-08-30,27.86,27.88,27.45,27.62,408855.0
2012-08-31,28.1,28.37,27.58,27.93,599622.0
2012-09-04,27.96,28.19,27.4,27.88,460203.0
2012-09-05,27.97,28.16,27.73,27.85,255627.0
2012-09-06,28.35,29.55,28.35,29.53,543258.0
2012-09-07,29.71,29.91,29.64,29.91,289431.0
2012-09-10,29.82,29.96,29.37,29.39,221712.0
2012-09-11,29.47,29.9,29.45,29.62,225447.0
2012-09-12,29.94,30.02,29.63,29.9,293544.0
2012-09-13,29.92,31.57,29.79,31.34,866889.0
2012-09-14,31.48,32.27,31.42,31.73,867933.0
2012-09-17,31.52,31.67,31.16,31.41,347445.0
2012-09-18,31.26,31.43,31.09,31.32,271290.0
2012-09-19,31.42,31.65,31.2,31.38,357039.0
2012-09-20,30.93,31.41,30.69,31.35,607521.0
2012-09-21,31.84,31.84,31.29,31.3,511704.0
2012-09-24,30.85,31.38,30.81,31.18,625716.0
