Date,Open,High,Low,Close,Volume
2006-06-21,70.88,71.81,70.82,71.5,277300.0
2006-06-22,71.08,71.08,70.26,70.74,136600.0
2006-06-23,70.32,71.38,70.13,70.73,44600.0
2006-06-26,70.75,71.17,70.51,71.14,37700.0
2006-06-27,71.37,71.37,69.88,69.88,114700.0
2006-06-28,70.09,70.7,69.7,70.5,42600.0
2006-06-29,71.5,73.49,71.39,73.49,66800.0
2006-06-30,74.01,74.1,73.45,73.45,90600.0
2006-07-03,73.85,74.45,73.76,74.45,28400.0
2006-07-05,73.65,73.77,72.89,73.46,74000.0
2006-07-06,73.7,74.21,73.46,73.69,116600.0
2006-07-07,73.15,73.78,72.48,72.84,71100.0
2006-07-10,73.45,73.73,72.7,72.97,71400.0
2006-07-11,72.65,73.64,72.07,73.59,192500.0
2006-07-12,73.51,73.54,71.84,72.14,128200.0
2006-07-13,71.17,71.52,69.91,69.96,173800.0
2006-07-14,69.74,69.95,68.5,69.33,151100.0
2006-07-17,69.43,69.8,68.8,69.26,56900.0
2006-07-18,69.75,70.65,68.11,69.37,204900.0
2006-07-19,70.0,72.2,69.99,71.75,219000.0
2006-07-20,72.4,72.5,70.75,70.91,115300.0
2006-07-21,70.3,70.61,69.51,69.79,128400.0
2006-07-24,70.47,72.14,70.47,72.0,133400.0
2006-07-25,71.86,73.29,71.53,72.91,171200.0
2006-07-26,72.44,73.54,72.14,73.05,138200.0
2006-07-27,73.59,73.8,72.06,72.35,178900.0
2006-07-28,72.71,74.26,72.66,74.0,112900.0
2006-07-31,74.0,74.0,73.52,73.8,56800.0
2006-08-01,73.0,73.7,72.45,73.14,52300.0
2006-08-02,73.87,74.55,73.52,73.7,73300.0
2006-08-03,73.0,74.62,73.0,74.07,90100.0
2006-08-04,75.7,75.75,73.4,74.05,172100.0
2006-08-07,73.6,73.95,73.3,73.64,49100.0
2006-08-08,74.2,74.34,72.72,73.04,57700.0
2006-08-09,73.71,74.46,72.4,72.48,69700.0
2006-08-10,72.3,73.25,72.01,73.12,161900.0
2006-08-11,73.0,73.0,72.1,72.59,121300.0
2006-08-14,73.49,74.76,72.63,72.84,96600.0
2006-08-15,73.97,74.8,73.78,74.63,83300.0
2006-08-16,75.15,76.01,75.07,75.88,112000.0
2006-08-17,75.86,76.59,75.68,76.19,190000.0
2006-08-18,76.44,76.7,75.69,76.5,83100.0
2006-08-21,76.0,76.34,75.9,76.14,40600.0
2006-08-22,76.06,76.66,75.75,76.27,69500.0
2006-08-23,76.37,76.6,75.16,75.58,62300.0
2006-08-24,76.1,76.1,75.38,75.86,88000.0
2006-08-25,75.74,76.34,75.58,76.0,39700.0
2006-08-28,75.92,76.92,75.71,76.65,69400.0
2006-08-29,76.59,77.03,75.87,77.01,59200.0
2006-08-30,77.3,77.3,75.82,77.0,29400.0
2006-08-31,76.75,77.1,76.7,76.94,27700.0
2006-09-01,77.25,77.8,77.02,77.72,56600.0
2006-09-05,77.67,78.12,77.42,77.86,61500.0
2006-09-06,77.43,77.43,76.3,76.5,56300.0
2006-09-07,75.81,76.49,75.44,75.73,63600.0
2006-09-08,75.93,76.41,75.68,76.27,56300.0
2006-09-11,75.81,76.71,75.28,76.25,32700.0
2006-09-12,76.45,77.87,76.45,77.74,67200.0
2006-09-13,77.94,78.62,77.64,78.5,39800.0
2006-09-14,78.24,78.31,77.83,78.12,50100.0
2006-09-15,79.15,79.4,78.49,78.79,62300.0
2006-09-18,78.64,79.19,78.43,78.78,33900.0
2006-09-19,78.56,78.81,77.58,78.27,100300.0
2006-09-20,79.24,79.48,78.8,79.22,77600.0
2006-09-21,79.6,79.6,78.06,78.36,51500.0
2006-09-22,78.35,78.35,77.44,77.93,35000.0
2006-09-25,78.62,79.67,77.64,79.38,81700.0
2006-09-26,79.44,80.48,79.27,80.42,76400.0
2006-09-27,80.65,80.9,80.18,80.62,87100.0
2006-09-28,81.05,81.46,80.25,80.88,88900.0
2006-09-29,80.85,80.97,80.46,80.55,47200.0
2006-10-02,80.47,80.73,79.75,79.88,44900.0
2006-10-03,79.85,80.71,79.38,80.17,47700.0
2006-10-04,80.2,82.16,79.84,82.14,102500.0
2006-10-05,82.3,82.66,81.95,82.44,68300.0
2006-10-06,81.71,82.24,81.53,82.2,163900.0
2006-10-09,81.95,82.47,81.72,82.28,40900.0
2006-10-10,82.26,82.66,81.99,82.53,41300.0
2006-10-11,81.96,82.6,81.37,82.2,56100.0
2006-10-12,82.76,83.78,82.55,83.67,149200.0
2006-10-13,83.5,84.13,83.35,84.06,59400.0
2006-10-16,83.83,84.5,83.82,84.32,61400.0
2006-10-17,83.7,84.05,82.85,83.9,161600.0
2006-10-18,84.78,84.79,83.29,83.88,149800.0
2006-10-19,83.64,84.21,83.47,84.03,79600.0
2006-10-20,84.1,84.7,83.53,84.15,52500.0
2006-10-23,83.7,85.25,83.58,84.93,127600.0
2006-10-24,85.0,85.31,84.63,85.31,53300.0
2006-10-25,85.31,85.99,85.05,85.79,88600.0
2006-10-26,86.42,86.72,85.48,86.53,134400.0
2006-10-27,85.77,86.39,85.02,85.39,104300.0
2006-10-30,84.95,85.65,84.74,85.28,91800.0
2006-10-31,85.6,85.64,84.52,85.0,124900.0
2006-11-01,85.71,85.77,83.78,83.99,126300.0
2006-11-02,83.55,84.08,83.31,83.92,111200.0
2006-11-03,84.5,84.5,83.2,83.4,130600.0
2006-11-06,84.2,85.69,84.02,85.43,104000.0
2006-11-07,85.45,86.65,85.37,85.88,114600.0
2006-11-08,85.15,86.6,84.85,86.44,101800.0
2006-11-09,86.55,86.63,85.18,85.45,107900.0
2006-11-10,85.57,85.66,84.97,85.6,55100.0
2006-11-13,85.35,86.48,85.31,85.95,82000.0
2006-11-14,86.55,87.37,85.4,87.17,166600.0
2006-11-15,87.15,88.24,87.15,87.79,180300.0
2006-11-16,88.11,88.57,87.88,88.17,166800.0
2006-11-17,87.35,88.18,87.35,88.15,57500.0
2006-11-20,87.91,88.5,87.75,88.1,92300.0
2006-11-21,88.16,88.4,88.01,88.37,42100.0
2006-11-22,88.58,88.99,88.28,88.75,40700.0
2006-11-24,87.9,88.61,87.9,88.04,26200.0
2006-11-27,87.73,87.87,85.4,85.7,277100.0
2006-11-28,85.31,86.3,85.05,86.2,164400.0
2006-11-29,87.0,88.0,86.84,87.78,177400.0
2006-11-30,88.06,88.5,87.07,87.85,225100.0
2006-12-01,87.9,88.15,86.05,87.45,161000.0
2006-12-04,87.89,89.13,87.76,88.85,105300.0
2006-12-05,89.15,89.69,88.85,89.57,100200.0
2006-12-06,89.57,89.75,89.14,89.31,53800.0
2006-12-07,89.72,90.07,88.64,88.66,66000.0
2006-12-08,88.5,89.48,88.2,88.89,107900.0
2006-12-11,89.1,89.7,88.9,89.36,47600.0
2006-12-12,89.3,89.41,88.39,89.24,108600.0
2006-12-13,89.9,89.9,89.11,89.6,66300.0
2006-12-14,89.46,91.2,89.46,90.8,129800.0
2006-12-15,91.4,91.7,90.98,91.18,94200.0
2006-12-18,91.3,91.71,90.32,90.6,113300.0
2006-12-19,89.75,91.33,89.5,91.09,154000.0
2006-12-20,88.61,89.13,86.9,86.96,124100.0
2006-12-21,87.06,87.28,86.0,86.44,84300.0
2006-12-22,86.21,86.21,85.21,85.21,86300.0
2006-12-26,85.4,86.34,85.34,86.34,54400.0
2006-12-27,86.87,87.6,86.6,87.55,108300.0
2006-12-28,87.35,87.55,86.82,87.2,60100.0
2006-12-29,87.05,87.35,86.21,86.3,64800.0
