Date,Open,High,Low,Close,Volume
2008-11-05,28.75,29.44,24.65,24.92,60400.0
2008-11-06,24.95,24.95,22.4,22.45,111800.0
2008-11-07,22.88,24.08,21.94,23.64,249600.0
2008-11-10,25.15,25.24,21.26,21.86,418700.0
2008-11-11,21.34,22.61,20.14,20.66,562040.0
2008-11-12,19.54,19.89,17.0,17.0,1202778.0
2008-11-13,17.5,21.3,14.48,21.3,2708040.0
2008-11-14,19.88,20.55,16.32,16.46,3728126.0
2008-11-17,16.2,17.5,15.75,16.13,2592038.0
2008-11-18,16.31,16.9,13.85,15.84,3556298.0
2008-11-19,15.54,16.0,12.0,12.12,5484022.0
2008-11-20,11.67,12.55,9.5,9.57,9985578.0
2008-11-21,11.1,11.24,8.54,11.06,9511588.0
2008-11-24,11.74,13.86,11.2,13.36,7019950.0
2008-11-25,14.02,14.22,12.56,14.0,5725432.0
2008-11-26,13.14,16.64,13.04,16.5,7126032.0
2008-11-27,,,,16.5,0.0
2008-11-28,15.98,17.33,15.76,17.33,1991510.0
2008-12-01,15.66,15.86,10.75,11.24,7458050.0
2008-12-02,11.94,13.05,11.22,12.92,7659340.0
2008-12-03,12.02,14.48,11.92,14.16,13863050.0
2008-12-04,13.48,14.98,12.04,12.82,11743592.0
2008-12-05,12.22,14.58,11.3,14.42,18516366.0
2008-12-08,15.58,16.78,15.29,16.31,14106800.0
2008-12-09,15.84,17.62,14.46,14.92,14137178.0
2008-12-10,15.4,16.62,15.04,15.92,11969306.0
2008-12-11,15.44,16.12,13.02,13.54,9910306.0
2008-12-12,12.44,15.0,12.36,14.84,20058562.0
2008-12-15,15.22,15.37,12.8,13.48,12865398.0
2008-12-16,14.24,16.12,14.16,15.92,13686106.0
2008-12-17,15.69,17.29,15.3,16.54,13679468.0
2008-12-18,16.53,17.4,15.07,16.14,11407300.0
2008-12-19,16.74,17.72,16.0,16.5,14115686.0
2008-12-22,16.67,16.72,13.86,15.4,12513960.0
2008-12-23,15.75,16.0,14.38,14.64,13115292.0
2008-12-24,14.78,15.1,14.25,14.88,4805900.0
2008-12-25,,,,14.88,0.0
2008-12-26,15.35,15.5,14.72,15.38,4314994.0
2008-12-29,15.31,15.5,13.97,14.54,8472062.0
2008-12-30,14.99,15.94,14.7,15.86,9424876.0
2008-12-31,16.02,18.08,15.94,17.04,13578744.0
2009-01-01,,,,17.04,0.0
2009-01-02,17.52,18.49,16.91,17.96,14524194.0
2009-01-05,18.28,18.68,17.15,18.3,12768330.0
2009-01-06,18.72,19.82,18.36,19.2,15954258.0
2009-01-07,18.02,18.28,16.68,17.44,13974588.0
2009-01-08,17.08,17.87,16.88,17.79,15770640.0
2009-01-09,17.82,17.86,15.5,15.75,19891432.0
