Date,Open,High,Low,Close,Volume
2007-01-25,275.2,282.16,275.2,282.16,3425.0
2007-01-26,281.12,285.76,278.32,278.96,15600.0
2007-01-29,279.4,279.68,273.6,275.0,17525.0
2007-01-30,274.0,276.0,271.2,271.48,7200.0
2007-01-31,274.68,275.2,267.84,270.8,11675.0
2007-02-01,267.32,269.36,264.56,265.0,12275.0
2007-02-02,264.56,266.2,263.52,264.44,6250.0
2007-02-05,265.92,267.32,263.68,265.68,11875.0
2007-02-06,264.8,268.12,264.0,264.12,7450.0
2007-02-07,263.72,264.8,259.92,259.92,8450.0
2007-02-08,261.52,263.08,259.12,260.04,12300.0
2007-02-09,259.8,268.68,259.8,265.12,25175.0
2007-02-12,266.2,269.6,265.84,267.04,17500.0
2007-02-13,265.2,266.13,262.68,262.68,11650.0
2007-02-14,262.8,263.16,258.84,262.44,14525.0
2007-02-15,262.24,263.36,259.92,261.24,6875.0
2007-02-16,262.48,264.68,259.0,259.64,5600.0
2007-02-20,261.2,263.52,253.72,254.92,17625.0
2007-02-21,257.2,257.81,253.88,254.48,19950.0
2007-02-22,254.16,257.08,252.24,252.72,14725.0
2007-02-23,254.16,257.0,253.8,254.0,11300.0
2007-02-26,253.32,260.0,253.24,256.56,8500.0
2007-02-27,266.2,283.92,264.32,280.28,118125.0
2007-02-28,280.28,282.88,272.76,276.32,47325.0
2007-03-01,286.8,290.16,274.44,278.16,58075.0
2007-03-02,281.2,289.96,279.24,289.96,44125.0
2007-03-05,293.92,302.56,286.28,302.56,91000.0
2007-03-06,293.16,294.4,282.72,285.2,103100.0
2007-03-07,286.12,289.52,283.48,288.2,66325.0
2007-03-08,282.36,285.52,279.52,282.4,74225.0
2007-03-09,279.6,285.15,279.16,279.16,66075.0
2007-03-12,281.24,283.12,277.68,278.36,46575.0
2007-03-13,282.4,293.88,281.04,293.2,81825.0
2007-03-14,292.08,299.36,286.32,286.36,140250.0
2007-03-15,286.68,286.68,281.52,282.44,59625.0
2007-03-16,282.32,287.44,280.8,285.6,68150.0
2007-03-19,282.04,282.16,277.6,279.0,61075.0
2007-03-20,280.72,281.24,274.96,275.16,57000.0
2007-03-21,274.76,276.04,263.84,265.0,109350.0
2007-03-22,264.36,267.48,263.68,264.76,58950.0
2007-03-23,264.96,265.48,263.2,263.8,26050.0
2007-03-26,264.36,269.8,263.08,265.6,60500.0
2007-03-27,267.4,270.4,267.08,268.32,36800.0
2007-03-28,271.16,275.76,269.6,272.84,56350.0
2007-03-29,270.04,276.6,267.96,271.32,54475.0
2007-03-30,270.36,275.2,267.16,269.68,52725.0
2007-04-02,269.68,272.24,268.64,268.8,21625.0
2007-04-03,266.72,266.88,261.72,263.2,51400.0
2007-04-04,263.92,265.96,263.28,264.24,22400.0
2007-04-05,264.52,264.56,261.76,263.36,20325.0
2007-04-09,262.6,265.4,262.6,264.0,19200.0
2007-04-10,264.24,264.72,260.56,262.32,33575.0
2007-04-11,263.36,269.2,263.0,266.04,81300.0
2007-04-12,266.96,270.12,261.84,262.02,49275.0
2007-04-13,262.04,264.6,258.84,259.12,43675.0
2007-04-16,256.52,256.52,251.72,251.84,48675.0
2007-04-17,253.04,255.36,251.56,253.36,64525.0
2007-04-18,255.56,257.24,253.8,257.0,36450.0
2007-04-19,261.08,262.52,256.52,259.52,67400.0
2007-04-20,254.36,256.81,253.16,253.68,68075.0
2007-04-23,254.28,256.2,252.28,254.4,37425.0
2007-04-24,253.96,259.64,253.84,254.44,58850.0
2007-04-25,254.0,256.0,250.0,252.56,81075.0
2007-04-26,252.8,255.52,250.16,250.8,52425.0
2007-04-27,253.24,255.84,252.24,253.08,91000.0
2007-04-30,253.76,264.12,253.76,264.0,67325.0
2007-05-01,262.44,271.6,261.52,262.0,136150.0
2007-05-02,262.0,262.04,253.08,254.72,130175.0
2007-05-03,254.52,256.12,252.56,254.68,81275.0
2007-05-04,253.76,255.32,251.6,251.6,64925.0
2007-05-07,252.8,253.48,250.36,252.84,31825.0
2007-05-08,255.72,259.24,252.96,254.6,146725.0
2007-05-09,256.6,256.84,248.96,252.12,102000.0
2007-05-10,254.48,261.44,254.0,259.0,145250.0
2007-05-11,258.0,258.88,253.72,254.44,84575.0
2007-05-14,254.8,259.8,253.2,258.64,83550.0
2007-05-15,259.0,264.4,254.72,263.2,170225.0
2007-05-16,262.68,279.2,256.32,259.72,123325.0
2007-05-17,260.88,264.96,260.32,263.6,149850.0
2007-05-18,262.44,264.84,256.2,258.04,115100.0
2007-05-21,258.44,259.0,249.0,251.68,398425.0
2007-05-22,251.68,252.92,246.52,248.24,144425.0
2007-05-23,247.44,250.96,244.0,250.44,180675.0
2007-05-24,251.04,259.52,247.4,257.36,250300.0
2007-05-25,255.44,256.64,252.52,253.32,108000.0
2007-05-29,252.0,252.44,248.6,249.04,119675.0
2007-05-30,252.8,254.28,245.8,245.8,159450.0
2007-05-31,245.08,246.16,242.44,243.48,157725.0
2007-06-01,241.92,243.44,238.36,240.96,140200.0
2007-06-04,242.0,243.56,239.72,240.48,109125.0
2007-06-05,242.16,246.32,241.24,243.28,178200.0
