Date,Open,High,Low,Close,Volume
2008-06-25,52.25,52.98,52.25,52.77,2035.0
2008-06-26,60.0,60.0,50.99,51.06,9720.0
2008-06-27,50.79,50.79,50.09,50.16,7685.0
2008-06-30,50.77,50.96,50.25,50.25,17065.0
2008-07-01,50.0,50.0,48.06,48.8,14826.0
2008-07-02,48.53,48.53,47.51,47.51,6619.0
2008-07-03,47.22,47.53,46.72,47.51,5936.0
2008-07-07,53.39,48.21,47.92,47.92,2525.0
2008-07-08,48.24,48.24,46.83,47.95,12131.0
2008-07-09,48.0,48.43,47.6,47.6,4020.0
2008-07-10,47.56,48.12,47.1,48.02,1006.0
2008-07-11,48.24,48.62,47.82,48.26,4163.0
2008-07-14,48.97,49.28,48.62,49.23,22228.0
2008-07-15,48.81,48.81,47.37,48.38,12088.0
2008-07-16,48.42,49.5,48.42,49.5,4244.0
2008-07-17,50.49,50.58,49.57,49.6,4640.0
2008-07-18,49.39,49.39,49.09,49.18,4777.0
2008-07-21,49.75,50.15,49.52,50.13,17207.0
2008-07-22,50.47,51.8,48.9,49.2,9501.0
2008-07-23,49.61,49.64,49.12,49.16,4939.0
2008-07-24,48.53,48.53,46.65,46.96,6442.0
2008-07-25,47.27,47.51,46.82,47.51,2660.0
2008-07-28,46.76,47.53,46.76,47.21,18726.0
2008-07-29,47.56,48.52,47.46,48.32,19151.0
2008-07-30,49.12,49.49,49.01,49.44,3530.0
2008-07-31,49.46,49.6,47.5,48.94,3108.0
2008-08-01,49.26,49.26,48.04,48.07,4539.0
2008-08-04,47.91,47.91,47.1,47.1,3336.0
2008-08-05,46.8,47.2,46.75,46.86,1555.0
2008-08-06,46.71,47.42,46.71,47.38,3935.0
2008-08-07,47.64,47.64,47.2,47.36,6021.0
2008-08-08,46.88,46.88,46.36,46.54,4884.0
2008-08-11,46.66,46.66,45.84,45.84,2408.0
2008-08-12,45.71,46.56,45.71,46.12,2345.0
2008-08-13,46.11,46.35,45.81,46.35,3740.0
2008-08-14,46.43,46.46,46.24,46.24,1180.0
2008-08-15,47.35,47.46,47.17,47.46,3967.0
2008-08-18,47.81,47.88,46.85,46.85,2473.0
2008-08-19,47.0,47.21,46.92,47.2,1719.0
2008-08-20,47.4,48.65,47.4,48.46,5124.0
2008-08-21,49.36,49.72,49.36,49.7,12621.0
2008-08-22,49.97,50.21,49.8,50.19,5992.0
2008-08-25,50.04,50.14,49.25,49.34,4654.0
2008-08-26,49.49,49.49,48.85,48.94,4432.0
2008-08-27,49.41,50.2,49.41,49.99,6065.0
2008-08-28,53.12,53.12,50.08,50.48,2345.0
2008-08-29,50.67,50.67,50.12,50.14,5252.0
2008-09-02,49.99,49.99,48.02,48.02,3458.0
2008-09-03,47.7,47.7,46.37,46.37,5677.0
2008-09-04,46.16,46.16,44.24,44.52,23675.0
2008-09-05,44.28,44.28,42.9,44.14,3855.0
2008-09-08,44.79,44.83,43.34,43.66,3559.0
2008-09-09,42.94,42.94,39.66,39.66,19053.0
