Date,Open,High,Low,Close,Volume
2006-07-13,288.4,294.44,288.24,293.92,9450.0
2006-07-14,294.4,300.8,294.4,296.0,53675.0
2006-07-17,296.0,299.44,295.2,298.2,67125.0
2006-07-18,296.4,302.8,295.8,296.6,72500.0
2006-07-19,294.0,294.0,285.2,286.4,46200.0
2006-07-20,284.6,291.08,284.6,291.08,36700.0
2006-07-21,291.08,295.8,291.08,294.88,40825.0
2006-07-24,292.0,292.4,285.12,286.0,46075.0
2006-07-25,286.2,287.76,280.52,282.48,45700.0
2006-07-26,283.48,285.4,280.0,281.6,43850.0
2006-07-27,279.44,285.48,278.84,285.48,40150.0
2006-07-28,282.72,282.8,277.04,279.08,43500.0
2006-07-31,278.12,280.08,278.12,279.28,27850.0
2006-08-01,282.16,284.36,281.12,282.04,37475.0
2006-08-02,279.8,280.4,276.24,278.76,34600.0
2006-08-03,281.76,281.76,276.0,277.92,42500.0
2006-08-04,271.6,280.48,271.4,278.32,55800.0
2006-08-07,280.0,282.0,278.8,280.04,29800.0
2006-08-08,279.28,283.56,277.12,282.52,59300.0
2006-08-09,279.6,286.88,277.12,285.44,72025.0
2006-08-10,286.64,286.84,281.8,283.04,53800.0
2006-08-11,277.88,286.24,277.88,284.4,33225.0
2006-08-14,280.6,284.36,279.0,284.08,26000.0
2006-08-15,278.04,279.96,275.6,275.6,53825.0
2006-08-16,274.44,275.2,271.4,272.48,64075.0
2006-08-17,272.84,273.44,269.48,271.28,45575.0
2006-08-18,270.2,273.4,269.16,269.44,35100.0
2006-08-21,271.64,272.28,270.72,270.8,26525.0
2006-08-22,271.6,273.2,269.56,271.24,31475.0
2006-08-23,271.24,275.2,269.64,273.2,50950.0
2006-08-24,272.8,274.52,272.0,272.84,39650.0
2006-08-25,273.84,273.84,271.12,272.64,28150.0
2006-08-28,273.72,273.72,269.12,270.24,44875.0
2006-08-29,271.32,273.12,269.12,269.24,49750.0
2006-08-30,268.08,270.12,268.08,269.08,25600.0
2006-08-31,268.68,273.0,268.52,269.64,12900.0
2006-09-01,268.64,269.24,266.44,267.04,41300.0
2006-09-05,268.04,268.44,265.68,266.28,32725.0
2006-09-06,268.0,272.0,268.0,271.0,80625.0
2006-09-07,273.76,275.12,271.24,274.64,128575.0
2006-09-08,273.68,274.28,271.52,272.32,37575.0
2006-09-11,274.6,275.96,270.6,272.4,76800.0
2006-09-12,270.2,271.76,266.36,266.8,79150.0
2006-09-13,267.28,268.0,263.8,264.84,54250.0
2006-09-14,266.0,267.32,265.4,266.76,74325.0
2006-09-15,263.96,265.4,258.08,265.4,67900.0
2006-09-18,265.4,267.0,262.76,264.12,45100.0
2006-09-19,264.4,268.4,264.4,264.88,72000.0
2006-09-20,262.48,264.4,261.24,263.8,66950.0
2006-09-21,261.0,266.76,261.0,264.76,69375.0
2006-09-22,266.8,268.8,265.8,267.0,73425.0
2006-09-25,265.2,271.68,261.32,263.04,70875.0
2006-09-26,263.4,263.6,258.4,258.8,99150.0
2006-09-27,258.12,259.28,257.0,258.12,63025.0
2006-09-28,257.56,259.76,256.8,257.36,67050.0
2006-09-29,258.32,259.2,257.0,259.2,63450.0
2006-10-02,259.2,261.56,257.96,261.2,56650.0
2006-10-03,261.96,262.52,258.16,259.72,72275.0
2006-10-04,260.12,260.8,253.44,254.0,111475.0
2006-10-05,254.76,254.76,252.04,252.84,70625.0
2006-10-06,255.16,257.8,253.2,253.2,64875.0
2006-10-09,254.8,255.04,252.88,253.56,24000.0
2006-10-10,253.2,254.48,252.28,252.64,36025.0
2006-10-11,254.68,256.16,252.44,253.8,59575.0
2006-10-12,252.16,252.8,248.92,249.4,96300.0
2006-10-13,249.6,250.36,247.8,248.0,66425.0
2006-10-16,248.6,248.92,247.0,247.52,47850.0
2006-10-17,249.36,251.92,248.41,249.16,76400.0
2006-10-18,246.84,251.6,246.08,249.2,105925.0
2006-10-19,250.04,250.6,248.12,248.44,47850.0
2006-10-20,248.68,251.92,248.52,248.72,76500.0
2006-10-23,249.96,250.08,245.44,245.8,84325.0
2006-10-24,247.08,247.24,245.2,245.4,43975.0
2006-10-25,245.52,246.0,243.2,244.0,122725.0
2006-10-26,242.36,244.92,241.08,241.92,94700.0
2006-10-27,243.36,246.0,242.28,244.96,73300.0
2006-10-30,246.28,247.08,244.2,245.44,61550.0
2006-10-31,244.8,247.8,244.27,245.64,56725.0
2006-11-01,244.56,250.28,244.0,249.36,135625.0
2006-11-02,250.92,251.4,249.19,249.8,106425.0
2006-11-03,247.8,251.84,247.8,251.04,79500.0
2006-11-06,249.2,249.36,244.44,245.8,105475.0
2006-11-07,245.24,245.24,242.4,244.32,117850.0
2006-11-08,246.6,246.68,240.92,242.88,122525.0
2006-11-09,242.6,246.16,241.84,245.6,69325.0
2006-11-10,245.28,246.92,244.68,244.88,59075.0
2006-11-13,244.92,246.04,242.64,243.68,44475.0
2006-11-14,242.2,245.6,240.04,240.56,181475.0
2006-11-15,240.32,240.68,237.4,239.08,104675.0
2006-11-16,237.64,238.88,237.16,238.64,107200.0
2006-11-17,240.32,240.4,238.2,239.6,68325.0
2006-11-20,239.0,239.64,237.4,238.6,60750.0
2006-11-21,238.6,239.0,237.68,238.04,62175.0
2006-11-22,237.8,238.2,236.16,236.96,43600.0
2006-11-24,239.68,239.68,237.64,239.28,53725.0
2006-11-27,240.08,245.92,239.56,245.8,133125.0
2006-11-28,246.8,247.2,243.44,244.4,137675.0
2006-11-29,241.88,242.24,238.72,239.8,143825.0
2006-11-30,238.84,241.4,237.08,239.0,121675.0
2006-12-01,238.92,244.04,238.68,240.36,175150.0
2006-12-04,239.48,239.72,235.72,236.8,116050.0
2006-12-05,236.2,236.76,234.0,234.68,119050.0
2006-12-06,235.16,235.92,234.16,235.12,58675.0
2006-12-07,233.76,237.24,233.24,237.2,116025.0
2006-12-08,236.92,238.4,235.06,236.92,107675.0
2006-12-11,236.56,236.92,234.52,235.36,39775.0
2006-12-12,236.24,238.4,235.28,236.08,90700.0
2006-12-13,234.44,236.44,234.4,235.28,45975.0
2006-12-14,235.32,235.4,230.92,231.68,120125.0
2006-12-15,230.08,231.68,229.6,231.2,93850.0
2006-12-18,231.2,233.44,229.88,232.88,61575.0
2006-12-19,234.2,235.4,230.84,231.84,77025.0
2006-12-20,229.12,229.84,226.52,229.72,51825.0
2006-12-21,229.24,232.36,228.8,231.44,90125.0
