Date,Open,High,Low,Close,Volume
2008-11-05,251.48,277.56,244.88,277.56,6200.0
2008-11-06,288.6,312.56,278.16,309.52,39775.0
2008-11-07,303.6,317.48,286.36,294.68,40275.0
2008-11-10,272.94,321.8,272.32,312.56,33124.0
2008-11-11,322.84,340.2,305.64,331.36,85162.0
2008-11-12,351.16,397.4,346.2,395.24,100994.0
2008-11-13,388.92,460.0,289.12,290.4,157935.0
2008-11-14,314.72,362.64,302.56,360.32,170071.0
2008-11-17,368.0,377.76,339.12,370.36,164557.0
2008-11-18,368.8,422.4,350.68,376.76,176910.0
2008-11-19,382.12,470.96,371.32,468.44,202036.0
2008-11-20,481.8,566.92,447.8,562.16,340790.0
2008-11-21,524.0,626.32,464.16,468.88,419286.0
2008-11-24,445.24,468.08,353.4,369.16,256306.0
2008-11-25,352.76,391.32,347.12,351.64,261996.0
2008-11-26,376.6,377.06,287.0,291.44,369106.0
2008-11-27,,,,291.44,0.0
2008-11-28,301.48,302.64,277.2,278.56,127188.0
2008-12-01,303.24,380.0,299.6,375.04,479122.0
2008-12-02,354.28,374.56,310.0,312.04,479410.0
2008-12-03,336.12,339.16,278.6,284.08,889126.0
2008-12-04,300.0,329.12,269.36,313.2,766046.0
2008-12-05,329.4,350.0,267.0,270.04,875281.0
2008-12-08,249.44,254.2,226.76,235.0,633543.0
2008-12-09,240.96,260.66,216.0,254.76,919079.0
2008-12-10,246.16,253.38,226.28,237.6,756784.0
2008-12-11,244.84,280.84,235.08,273.12,755198.0
2008-12-12,294.16,300.16,241.92,243.72,769261.0
2008-12-15,237.64,278.8,235.8,268.31,597976.0
2008-12-16,251.56,253.96,213.2,213.44,584825.0
2008-12-17,220.6,225.0,199.2,207.68,564593.0
2008-12-18,209.2,227.0,197.64,215.52,584150.0
2008-12-19,204.6,215.4,191.4,207.12,665062.0
2008-12-22,205.72,241.6,205.72,221.56,658799.0
2008-12-23,217.52,235.4,212.8,232.84,585917.0
2008-12-24,230.04,238.48,225.0,229.04,213232.0
2008-12-25,,,,229.04,0.0
2008-12-26,221.76,230.52,218.0,218.0,274567.0
2008-12-29,220.6,241.36,218.36,232.0,463318.0
2008-12-30,224.96,229.52,208.68,209.8,440740.0
2008-12-31,207.68,209.04,181.0,191.56,761568.0
2009-01-01,,,,191.56,0.0
2009-01-02,187.72,194.2,177.72,184.0,751840.0
2009-01-05,180.0,191.28,176.48,180.04,832818.0
2009-01-06,175.92,179.36,164.72,171.44,779969.0
2009-01-07,181.44,193.32,179.2,186.12,949752.0
2009-01-08,190.2,192.4,181.8,182.96,855150.0
2009-01-09,181.96,205.28,181.28,205.01,896106.0
2009-01-12,205.32,224.0,203.28,222.0,808787.0
2009-01-13,222.68,226.12,209.24,213.12,1228863.0
2009-01-14,226.48,242.8,222.0,240.88,1328570.0
2009-01-15,239.84,264.08,220.72,229.04,1699487.0
2009-01-16,214.4,244.0,213.92,221.52,1458276.0
2009-01-20,230.2,266.76,225.6,266.4,1471360.0
2009-01-21,253.88,271.72,222.72,226.84,1438308.0
2009-01-22,240.16,257.24,228.45,245.64,1630374.0
2009-01-23,264.24,267.52,231.44,241.08,1758413.0
2009-01-26,242.24,245.16,217.56,233.96,1065612.0
2009-01-27,231.04,236.04,219.2,225.64,915574.0
2009-01-28,212.92,214.4,195.04,199.16,1070798.0
2009-01-29,207.0,223.44,205.56,222.08,845244.0
2009-01-30,216.56,240.52,212.64,235.32,1255072.0
2009-02-02,248.08,248.36,224.44,229.12,1218717.0
2009-02-03,222.52,234.88,218.04,223.76,774422.0
2009-02-04,223.6,233.56,210.32,229.08,1114241.0
2009-02-05,235.08,238.76,210.76,221.0,1463572.0
2009-02-06,220.0,222.4,194.92,197.28,1113128.0
2009-02-09,199.48,206.64,195.48,200.16,686798.0
2009-02-10,204.44,229.16,195.8,225.36,1760286.0
2009-02-11,223.48,235.16,218.36,223.84,1022811.0
2009-02-12,235.28,244.0,218.28,218.28,1547008.0
2009-02-13,219.72,226.68,211.0,226.36,1154652.0
2009-02-17,251.12,253.8,241.88,251.84,1602034.0
2009-02-18,245.48,266.48,244.88,263.12,1772105.0
2009-02-19,254.08,275.44,250.68,273.8,1572208.0
2009-02-20,290.28,304.2,275.4,285.16,2757655.0
2009-02-23,280.2,320.0,278.92,318.52,1966006.0
2009-02-24,306.68,316.96,273.68,280.12,2022547.0
2009-02-25,285.72,312.2,279.72,300.08,1898650.0
2009-02-26,289.12,319.88,286.0,315.84,1386466.0
2009-02-27,332.12,334.0,303.68,322.0,2119837.0
2009-03-02,344.16,379.92,339.68,374.92,2086616.0
