Date,Open,High,Low,Close,Volume,Adjusted Close
2005-01-03,1628.75,1635.45,1598.79,1603.51,2193130000.0,1603.51
2005-01-04,1611.22,1612.78,1565.02,1571.83,2690460000.0,1571.83
2005-01-05,1568.68,1580.88,1562.64,1563.76,2375380000.0,1563.76
2005-01-06,1567.66,1570.75,1556.84,1557.52,2174220000.0,1557.52
2005-01-07,1565.63,1577.76,1551.29,1564.81,2191910000.0,1564.81
2005-01-10,1561.23,1577.71,1558.54,1564.92,2098270000.0,1564.92
2005-01-11,1556.66,1562.24,1545.28,1553.4,2210240000.0,1553.4
2005-01-12,1561.84,1566.69,1543.04,1565.78,2257670000.0,1565.78
2005-01-13,1567.55,1568.54,1543.48,1545.18,2111610000.0,1545.18
2005-01-14,1552.11,1563.79,1550.05,1561.11,2084860000.0,1561.11
2005-01-18,1554.19,1574.39,1551.88,1573.49,1983840000.0,1573.49
2005-01-19,1572.81,1573.02,1545.63,1545.65,2217700000.0,1545.65
2005-01-20,1526.8,1534.53,1514.56,1514.56,2231360000.0,1514.56
2005-01-21,1519.3,1524.03,1502.48,1503.64,2043770000.0,1503.64
2005-01-24,1507.79,1509.83,1480.66,1480.66,2134680000.0,1480.66
2005-01-25,1492.65,1505.05,1488.6,1490.57,2003630000.0,1490.57
2005-01-26,1502.05,1513.44,1495.31,1509.01,2105070000.0,1509.01
2005-01-27,1505.25,1512.74,1497.36,1507.55,2106220000.0,1507.55
2005-01-28,1510.88,1512.82,1486.76,1499.46,2098150000.0,1499.46
2005-01-31,1515.16,1523.27,1513.06,1519.63,1823800000.0,1519.63
2005-02-01,1521.0,1527.91,1517.3,1523.66,1904570000.0,1523.66
2005-02-02,1527.29,1531.22,1515.45,1525.1,1965550000.0,1525.1
2005-02-03,1516.22,1518.13,1501.96,1508.24,1962750000.0,1508.24
2005-02-04,1507.74,1534.97,1507.69,1534.49,1934920000.0,1534.49
2005-02-07,1534.48,1538.38,1522.72,1529.05,1698460000.0,1529.05
2005-02-08,1529.55,1542.41,1527.04,1532.69,1943560000.0,1532.69
2005-02-09,1534.41,1534.48,1504.6,1506.81,1958810000.0,1506.81
2005-02-10,1512.71,1514.22,1497.35,1506.83,2085500000.0,1506.83
2005-02-11,1505.09,1535.54,1498.68,1530.51,2163630000.0,1530.51
2005-02-14,1531.19,1540.01,1530.16,1538.21,1639640000.0,1538.21
2005-02-15,1538.38,1561.17,1535.34,1547.3,2071590000.0,1547.3
2005-02-16,1541.26,1547.69,1535.37,1542.41,1865070000.0,1542.41
2005-02-17,1543.03,1546.69,1519.22,1519.29,1950460000.0,1519.29
2005-02-18,1519.21,1524.04,1512.73,1515.4,1614160000.0,1515.4
2005-02-22,1502.94,1523.51,1493.58,1494.07,2056220000.0,1494.07
2005-02-23,1502.83,1503.89,1489.99,1497.09,1878450000.0,1497.09
2005-02-24,1493.59,1517.88,1491.74,1517.71,2031880000.0,1517.71
2005-02-25,1515.75,1528.0,1513.47,1526.9,1771200000.0,1526.9
2005-02-28,1517.06,1524.7,1498.17,1511.02,2130140000.0,1511.02
2005-03-01,1516.63,1529.37,1515.2,1527.25,1941180000.0,1527.25
2005-03-02,1517.68,1541.14,1514.98,1525.28,2004470000.0,1525.28
2005-03-03,1530.13,1530.68,1502.32,1511.89,1895880000.0,1511.89
2005-03-04,1524.21,1530.59,1517.29,1520.58,1829190000.0,1520.58
2005-03-07,1524.04,1552.53,1523.73,1545.2,1949190000.0,1545.2
2005-03-08,1540.8,1549.56,1527.5,1528.65,1696700000.0,1528.65
2005-03-09,1526.9,1537.97,1520.45,1521.98,1895520000.0,1521.98
2005-03-10,1525.64,1527.98,1504.54,1524.38,1825790000.0,1524.38
2005-03-11,1528.65,1533.85,1501.99,1505.64,1792090000.0,1505.64
2005-03-14,1509.19,1515.16,1502.6,1515.09,1707720000.0,1515.09
2005-03-15,1520.26,1520.43,1500.88,1502.06,1838790000.0,1502.06
2005-03-16,1497.4,1508.16,1482.62,1486.23,1969690000.0,1486.23
2005-03-17,1487.72,1496.8,1483.1,1487.63,1745120000.0,1487.63
2005-03-18,1488.55,1490.57,1475.26,1484.4,2106980000.0,1484.4
2005-03-21,1483.16,1490.57,1470.94,1484.45,1611000000.0,1484.45
2005-03-22,1484.13,1490.44,1464.99,1465.09,1805950000.0,1465.09
2005-03-23,1463.43,1480.13,1463.43,1471.77,1741150000.0,1471.77
2005-03-24,1477.46,1485.96,1469.94,1469.94,1697930000.0,1469.94
2005-03-28,1476.4,1484.85,1472.71,1472.71,1487620000.0,1472.71
2005-03-29,1471.25,1483.43,1458.26,1464.34,1797840000.0,1464.34
2005-03-30,1470.13,1491.74,1469.97,1491.74,1753610000.0,1491.74
2005-03-31,1489.44,1490.8,1478.66,1482.53,1686970000.0,1482.53
2005-04-01,1491.83,1495.58,1466.49,1469.35,1869690000.0,1469.35
2005-04-04,1469.42,1482.06,1461.27,1476.72,1589310000.0,1476.72
2005-04-05,1480.99,1487.26,1477.55,1483.75,1647510000.0,1483.75
2005-04-06,1487.15,1497.39,1477.97,1480.67,1746400000.0,1480.67
2005-04-07,1481.13,1499.71,1481.13,1499.71,1714270000.0,1499.71
2005-04-08,1499.93,1503.21,1485.43,1485.6,1516340000.0,1485.6
2005-04-11,1490.43,1492.32,1477.13,1478.55,1382490000.0,1478.55
2005-04-12,1477.01,1490.1,1460.42,1489.16,1931870000.0,1489.16
2005-04-13,1484.39,1484.46,1459.97,1461.68,1705450000.0,1461.68
2005-04-14,1461.83,1462.81,1440.35,1441.13,1930060000.0,1441.13
2005-04-15,1425.73,1434.47,1407.82,1408.59,2314620000.0,1408.59
2005-04-18,1406.3,1418.76,1405.09,1409.98,1840360000.0,1409.98
2005-04-19,1419.53,1424.03,1410.54,1420.8,1792830000.0,1420.8
2005-04-20,1430.25,1432.11,1404.86,1406.85,2004950000.0,1406.85
2005-04-21,1423.62,1448.37,1419.25,1447.37,1951490000.0,1447.37
2005-04-22,1437.97,1438.72,1412.63,1421.21,1802730000.0,1421.21
2005-04-25,1430.99,1439.63,1426.73,1437.31,1442420000.0,1437.31
2005-04-26,1431.75,1446.82,1420.43,1420.43,1670040000.0,1420.43
2005-04-27,1413.22,1429.11,1409.49,1423.76,1764210000.0,1423.76
2005-04-28,1418.12,1425.69,1408.84,1409.29,1861340000.0,1409.29
2005-04-29,1420.64,1422.42,1394.36,1420.79,2039550000.0,1420.79
2005-05-02,1421.9,1430.05,1415.6,1423.71,1547750000.0,1423.71
2005-05-03,1421.28,1436.6,1421.28,1427.61,1868140000.0,1427.61
2005-05-04,1431.06,1453.2,1429.62,1452.2,1877820000.0,1452.2
2005-05-05,1450.73,1457.34,1441.94,1450.16,1719880000.0,1450.16
2005-05-06,1460.26,1460.76,1449.7,1456.0,1511120000.0,1456.0
2005-05-09,1455.68,1463.38,1446.77,1463.38,1441010000.0,1463.38
2005-05-10,1453.25,1458.4,1445.11,1450.36,1595520000.0,1450.36
2005-05-11,1452.31,1461.02,1432.83,1459.55,1716160000.0,1459.55
2005-05-12,1459.07,1468.17,1446.97,1454.79,1783430000.0,1454.79
2005-05-13,1459.23,1478.89,1455.88,1470.63,1878980000.0,1470.63
2005-05-16,1470.31,1481.32,1465.85,1480.68,1390290000.0,1480.68
2005-05-17,1474.05,1490.14,1469.44,1490.14,1520510000.0,1490.14
2005-05-18,1493.03,1514.76,1489.47,1509.26,1957880000.0,1509.26
2005-05-19,1510.62,1521.5,1508.71,1521.43,1700580000.0,1521.43
2005-05-20,1519.26,1528.06,1514.54,1528.06,1492720000.0,1528.06
2005-05-23,1526.97,1540.3,1525.23,1535.22,1620130000.0,1535.22
2005-05-24,1531.25,1540.68,1529.4,1540.47,1695940000.0,1540.47
2005-05-25,1535.9,1535.9,1524.41,1532.71,1493000000.0,1532.71
2005-05-26,1540.05,1551.12,1539.74,1548.8,1596460000.0,1548.8
2005-05-27,1546.74,1551.03,1541.76,1549.8,1237350000.0,1549.8
2005-05-31,1549.48,1550.18,1538.54,1542.63,1578740000.0,1542.63
2005-06-01,1541.73,1567.72,1541.66,1559.5,1779710000.0,1559.5
2005-06-02,1553.43,1568.96,1553.05,1568.96,1746620000.0,1568.96
2005-06-03,1565.48,1566.14,1542.05,1544.48,1637900000.0,1544.48
2005-06-06,1544.96,1548.55,1539.57,1545.27,1477150000.0,1545.27
2005-06-07,1546.71,1559.53,1531.07,1531.12,1846530000.0,1531.12
2005-06-08,1536.92,1538.24,1524.13,1527.68,1602540000.0,1527.68
2005-06-09,1526.15,1542.75,1520.61,1539.46,1666670000.0,1539.46
2005-06-10,1537.57,1537.57,1515.96,1521.02,1449380000.0,1521.02
2005-06-13,1519.61,1538.66,1519.61,1529.13,1432130000.0,1529.13
2005-06-14,1529.02,1534.15,1520.88,1524.42,1405850000.0,1524.42
2005-06-15,1533.9,1535.43,1510.82,1529.49,1672670000.0,1529.49
2005-06-16,1531.02,1540.52,1527.71,1537.42,1793020000.0,1537.42
2005-06-17,1550.63,1550.63,1532.56,1538.13,1993280000.0,1538.13
2005-06-20,1529.65,1545.52,1526.06,1537.31,1408110000.0,1537.31
2005-06-21,1535.48,1542.73,1530.91,1536.48,1557480000.0,1536.48
2005-06-22,1542.13,1545.54,1527.93,1534.36,1668440000.0,1534.36
2005-06-23,1537.64,1549.0,1515.79,1515.95,2009480000.0,1515.95
2005-06-24,1516.84,1518.01,1500.18,1500.18,2151000000.0,1500.18
2005-06-27,1497.29,1503.79,1490.02,1493.75,1448300000.0,1493.75
2005-06-28,1500.65,1512.64,1498.48,1508.61,1584200000.0,1508.61
2005-06-29,1511.95,1512.77,1501.72,1504.11,1640360000.0,1504.11
2005-06-30,1507.02,1510.21,1492.94,1493.52,1731500000.0,1493.52
2005-07-01,1497.02,1501.95,1489.74,1490.53,1176200000.0,1490.53
2005-07-05,1485.96,1509.19,1485.96,1506.35,1440300000.0,1506.35
2005-07-06,1503.48,1512.91,1497.11,1498.05,1592080000.0,1498.05
2005-07-07,1484.92,1505.3,1484.18,1503.78,1617860000.0,1503.78
2005-07-08,1505.53,1534.29,1502.2,1533.27,1685280000.0,1533.27
2005-07-11,1536.45,1547.98,1535.07,1547.66,1770800000.0,1547.66
2005-07-12,1546.52,1560.15,1543.14,1555.59,1657520000.0,1555.59
2005-07-13,1555.24,1559.37,1549.81,1557.62,1540000000.0,1557.62
2005-07-14,1570.31,1577.48,1563.93,1573.44,1872310000.0,1573.44
2005-07-15,1577.27,1582.4,1568.82,1577.82,1534960000.0,1577.82
2005-07-18,1573.62,1578.12,1570.02,1570.09,1307270000.0,1570.09
2005-07-19,1580.25,1590.76,1577.0,1590.49,1632670000.0,1590.49
2005-07-20,1580.06,1605.45,1578.87,1602.75,1957070000.0,1602.75
2005-07-21,1606.84,1610.84,1591.72,1601.89,2034880000.0,1601.89
2005-07-22,1601.68,1606.42,1592.03,1600.76,1660360000.0,1600.76
2005-07-25,1600.62,1607.97,1591.4,1593.57,1523020000.0,1593.57
2005-07-26,1596.81,1603.89,1591.58,1598.93,1651840000.0,1598.93
2005-07-27,1601.39,1613.39,1592.76,1611.95,1750070000.0,1611.95
2005-07-28,1613.29,1619.78,1609.62,1618.64,1683870000.0,1618.64
2005-07-29,1616.42,1619.95,1605.14,1605.14,1613950000.0,1605.14
2005-08-01,1609.74,1616.4,1604.58,1610.11,1492680000.0,1610.11
2005-08-02,1611.86,1628.57,1611.86,1627.01,1735020000.0,1627.01
