Date,Open,High,Low,Close,Volume,Adjusted Close
2005-01-03,651.26,653.91,644.23,645.13,0.0,645.13
2005-01-04,645.49,646.96,635.74,637.09,0.0,637.09
2005-01-05,636.88,639.27,634.21,634.21,0.0,634.21
2005-01-06,634.6,638.48,634.1,636.41,0.0,636.41
2005-01-07,637.0,638.74,633.37,635.58,0.0,635.58
2005-01-10,635.41,640.57,634.95,638.09,0.0,638.09
2005-01-11,637.42,637.42,632.79,634.08,0.0,634.08
2005-01-12,634.67,636.65,630.17,636.49,0.0,636.49
2005-01-13,636.53,636.6,630.64,631.57,0.0,631.57
2005-01-14,631.58,635.82,631.58,635.52,0.0,635.52
2005-01-18,635.51,641.6,633.26,641.6,0.0,641.6
2005-01-19,641.49,641.49,635.35,635.5,0.0,635.5
2005-01-20,634.43,634.43,629.81,630.82,0.0,630.82
2005-01-21,631.14,633.01,626.88,626.9,0.0,626.9
2005-01-24,627.29,629.37,624.33,624.33,0.0,624.33
2005-01-25,625.01,629.91,625.01,626.49,0.0,626.49
2005-01-26,627.22,630.78,627.22,629.77,0.0,629.77
2005-01-27,629.69,631.8,627.81,630.09,2653600.0,630.09
2005-01-28,630.44,630.64,625.79,628.46,0.0,628.46
2005-01-31,629.34,634.2,629.34,633.99,2519900.0,633.99
2005-02-01,634.16,639.08,633.98,638.58,2551800.0,638.58
2005-02-02,638.95,641.71,638.36,640.68,2512900.0,640.68
2005-02-03,640.19,640.19,636.7,638.94,2441700.0,638.94
2005-02-04,638.85,646.37,638.77,646.25,2509000.0,646.25
2005-02-07,646.2,646.9,639.45,645.52,2058700.0,645.52
2005-02-08,645.33,647.34,644.74,645.92,2386200.0,645.92
2005-02-09,646.02,646.72,640.01,640.25,2428000.0,640.25
2005-02-10,640.58,643.62,639.8,642.78,2392800.0,642.78
2005-02-11,642.43,648.78,640.6,647.33,2489900.0,647.33
2005-02-14,647.3,648.34,646.48,647.99,2008400.0,647.99
2005-02-15,648.1,651.36,647.72,650.01,2430800.0,650.01
2005-02-16,649.67,651.3,647.26,650.26,2306400.0,650.26
2005-02-17,650.32,650.96,645.3,645.31,2418200.0,645.31
2005-02-18,645.43,646.3,643.47,645.61,2276100.0,645.61
2005-02-22,645.51,646.13,636.17,636.17,2696800.0,636.17
2005-02-23,636.68,641.09,636.68,639.64,2405600.0,639.64
2005-02-24,639.48,644.91,637.99,644.88,2412300.0,644.88
2005-02-25,644.81,651.33,644.56,651.08,2267900.0,651.08
2005-02-28,650.51,650.51,643.94,646.93,2759300.0,646.93
2005-03-01,647.29,651.62,647.29,650.75,2551000.0,650.75
2005-03-02,650.18,653.51,647.45,650.56,2590300.0,650.56
2005-03-03,650.81,653.39,647.3,650.46,2434900.0,650.46
2005-03-04,651.16,658.0,651.16,656.68,2371400.0,656.68
2005-03-07,656.98,660.63,656.89,658.76,2389200.0,658.76
2005-03-08,658.5,658.95,655.01,655.49,0.0,655.49
2005-03-09,655.34,655.34,648.57,648.75,2593100.0,648.75
2005-03-10,648.99,650.83,645.5,649.79,2354100.0,649.79
2005-03-11,649.94,652.04,644.3,645.39,2250300.0,645.39
2005-03-14,645.51,649.55,645.37,649.55,0.0,649.55
2005-03-15,649.75,651.69,644.95,644.95,2246400.0,644.95
2005-03-16,644.43,644.43,638.27,639.45,2573600.0,639.45
2005-03-17,639.44,642.14,638.48,640.57,2281700.0,640.57
2005-03-18,640.71,641.52,636.49,640.19,3263900.0,640.19
2005-03-21,639.94,639.94,634.71,637.41,2168300.0,637.41
2005-03-22,637.38,640.62,631.01,631.12,2558100.0,631.12
2005-03-23,630.94,633.31,629.24,631.29,2614300.0,631.29
2005-03-24,631.51,635.42,630.95,630.95,2056600.0,630.95
2005-03-28,631.41,635.1,631.41,632.13,1994400.0,632.13
2005-03-29,631.91,634.91,626.49,627.27,2547000.0,627.27
2005-03-30,627.59,635.91,627.59,635.83,2445800.0,635.83
2005-03-31,635.81,637.69,635.02,635.78,2422200.0,635.78
2005-04-01,636.16,640.85,630.36,631.94,2582000.0,631.94
2005-04-04,631.85,634.71,628.96,633.47,2408500.0,633.47
2005-04-05,633.69,637.43,633.66,636.21,2264800.0,636.21
2005-04-06,636.31,640.31,636.31,637.55,2286700.0,637.55
2005-04-07,637.54,641.74,637.24,641.43,2354100.0,641.43
