Date,Open,High,Low,Close,Volume,Adjusted Close
2005-01-03,651.57,654.27,639.43,640.44,15108000.0,640.44
2005-01-04,640.44,643.05,627.89,628.54,17202000.0,628.54
2005-01-05,628.54,628.66,617.48,617.48,17389000.0,617.48
2005-01-06,617.48,624.29,617.01,619.82,15691000.0,619.82
2005-01-07,619.82,622.42,612.41,613.21,14779000.0,613.21
2005-01-10,613.21,623.3,613.21,617.74,14904000.0,617.74
2005-01-11,617.74,617.74,609.91,611.53,14888000.0,611.53
2005-01-12,611.53,613.7,604.64,613.19,15621000.0,613.19
2005-01-13,613.19,616.57,609.09,610.13,15103000.0,610.13
2005-01-14,610.13,617.53,610.13,617.48,13354000.0,617.48
2005-01-18,617.48,625.81,615.29,624.87,15968000.0,624.87
2005-01-19,624.87,625.32,616.73,617.91,14987000.0,617.91
2005-01-20,617.91,617.91,611.82,612.34,16920000.0,612.34
2005-01-21,612.34,616.9,609.61,611.08,16435000.0,611.08
2005-01-24,611.08,614.51,604.17,604.53,14946000.0,604.53
2005-01-25,604.53,612.42,604.53,606.5,16104000.0,606.5
2005-01-26,606.5,616.59,606.5,616.57,16359000.0,616.57
2005-01-27,616.57,620.39,614.33,616.9,16006000.0,616.9
2005-01-28,616.9,617.43,609.96,613.0,16418000.0,613.0
2005-01-31,613.0,624.31,613.0,624.02,16798000.0,624.02
2005-02-01,624.02,628.61,623.43,628.14,16819800.0,628.14
2005-02-02,628.14,631.98,627.63,631.98,15617400.0,631.98
2005-02-03,631.98,631.98,625.6,629.32,15544600.0,629.32
2005-02-04,629.33,637.45,628.73,637.44,16481600.0,637.44
2005-02-07,637.44,639.84,634.39,636.62,13472700.0,636.62
2005-02-08,636.62,638.97,635.89,638.72,14161700.0,638.72
2005-02-09,638.72,639.51,625.43,625.71,15110400.0,625.71
2005-02-10,625.71,627.98,622.26,626.81,14916700.0,626.81
2005-02-11,626.81,635.48,621.94,634.76,15623000.0,634.76
2005-02-14,634.76,636.19,631.73,635.02,12901800.0,635.02
2005-02-15,635.02,638.56,632.3,634.94,15270800.0,634.94
2005-02-16,634.94,640.59,632.6,638.85,14901000.0,638.85
2005-02-17,638.85,640.51,631.13,631.14,15801200.0,631.14
2005-02-18,631.14,634.15,627.99,630.13,15512000.0,630.13
2005-02-22,630.13,630.17,617.93,617.93,17449400.0,617.93
2005-02-23,617.92,624.44,617.92,620.54,15010900.0,620.54
2005-02-24,620.54,627.61,616.91,627.56,15187500.0,627.56
2005-02-25,627.56,637.53,627.05,637.53,15236800.0,637.53
2005-02-28,637.53,637.93,629.21,634.06,17954800.0,634.06
2005-03-01,634.06,639.35,633.81,638.53,17080600.0,638.53
